facility_type,mode,Tr,gini
Hos,driving,15,0.34020277096880114
Hos,driving,30,0.07547114554588452
Hos,driving,60,0.01576789758227215
Hos,transit,15,0.9784447771041609
Hos,transit,30,0.37799502781412553
Hos,transit,60,0.09739805144548996
Hos,walking,5,0.9900562144028235
Hos,walking,10,0.944865829043781
Hos,walking,15,0.6830964928906536
Kin,driving,15,0.2578866958082344
Kin,driving,30,0.06613007628746459
Kin,driving,60,0.014418800637598483
Kin,transit,15,0.9757167121973935
Kin,transit,30,0.37053842413968674
Kin,transit,60,0.11205170101579354
Kin,walking,5,0.9720908402188266
Kin,walking,10,0.9571275740506866
Kin,walking,15,0.5397224122155044
OS,driving,15,0.41665762182099186
OS,driving,30,0.08974218829666158
OS,driving,60,0.022334059874321577
OS,transit,15,0.9708738579960767
OS,transit,30,0.519375223733463
OS,transit,60,0.13723264521719059
OS,walking,5,0.9497887300931926
OS,walking,10,0.7937813690803359
OS,walking,15,0.6594553775177163
Pri,driving,15,0.2776314264284332
Pri,driving,30,0.08386495384872528
Pri,driving,60,0.020433082185346674
Pri,transit,15,0.9804260553677406
Pri,transit,30,0.34639835517851103
Pri,transit,60,0.10826328366358418
Pri,walking,5,0.9676368250030953
Pri,walking,10,0.8580711326182515
Pri,walking,15,0.6782720670123703
Ss,driving,15,0.3603697181044838
Ss,driving,30,0.1071625439384174
Ss,driving,60,0.03969183772557794
Ss,transit,15,0.967657358888522
Ss,transit,30,0.5504377500734405
Ss,transit,60,0.14335047922442135
Ss,walking,5,0.983465711772064
Ss,walking,10,0.9799590295271268
Ss,walking,15,0.9647057642311654
