origin_id,mode,facility_type,Tr,AF_k,P_i
PH_001,walking,Hos,5,0.0,3913.0
PH_002,walking,Hos,5,0.0,3209.0
PH_003,walking,Hos,5,0.0,3923.0
PH_004,walking,Hos,5,0.0,10775.0
PH_005,walking,Hos,5,0.0,5453.0
PH_006,walking,Hos,5,0.0,17817.0
PH_007,walking,Hos,5,0.0,13588.0
PH_008,walking,Hos,5,0.0,16756.0
PH_009,walking,Hos,5,0.0,8485.0
PH_010,walking,Hos,5,0.0,9682.0
PH_011,walking,Hos,5,0.0,16989.0
PH_012,walking,Hos,5,0.0,14147.0
PH_013,walking,Hos,5,0.0,4587.0
PH_014,walking,Hos,5,1.3168683120920381,15655.0
PH_015,walking,Hos,5,0.0,5572.0
PH_016,walking,Hos,5,0.0,12066.0
PH_017,walking,Hos,5,0.0,6467.0
PH_018,walking,Hos,5,0.0,12329.0
PH_019,walking,Hos,5,0.0,9540.0
PH_020,walking,Hos,5,0.0,16071.0
PH_021,walking,Hos,5,0.0,3415.0
PH_022,walking,Hos,5,0.0,3444.0
PH_023,walking,Hos,5,0.0,6744.0
PH_024,walking,Hos,5,0.0,11876.0
PH_025,walking,Hos,5,7.215193674435249,5866.0
PH_026,walking,Hos,5,0.0,8869.0
PH_027,walking,Hos,5,0.0,6419.0
PH_028,walking,Hos,5,0.0,3185.0
PH_029,walking,Hos,5,0.0,7165.0
PH_030,walking,Hos,5,0.0,6200.0
PH_031,walking,Hos,5,0.0,3534.0
PH_032,walking,Hos,5,0.0,10438.0
PH_033,walking,Hos,5,0.0,7907.0
PH_034,walking,Hos,5,0.4799858661691315,11259.0
PH_035,walking,Hos,5,0.0,9662.0
PH_036,walking,Hos,5,6.827337026395417,9944.0
PH_037,walking,Hos,5,0.0,8499.0
PH_038,walking,Hos,5,0.0,13258.0
PH_039,walking,Hos,5,0.0,11426.0
PH_040,walking,Hos,5,0.0,11295.0
PH_041,walking,Hos,5,0.0,18247.0
PH_042,walking,Hos,5,0.0,4942.0
PH_043,walking,Hos,5,0.0,4411.0
PH_044,walking,Hos,5,0.0,4684.0
PH_045,walking,Hos,5,1.98042251765355,6208.0
PH_046,walking,Hos,5,0.0,17407.0
PH_047,walking,Hos,5,0.0,24618.0
PH_048,walking,Hos,5,0.0,23341.0
PH_049,walking,Hos,5,0.0,16843.0
PH_050,walking,Hos,5,0.0,11985.0
PH_051,walking,Hos,5,0.0,14753.0
PH_052,walking,Hos,5,0.0,22319.0
PH_053,walking,Hos,5,0.0,35277.0
PH_054,walking,Hos,5,0.0,3063.0
PH_055,walking,Hos,5,1.334820839226403,25561.0
PH_056,walking,Hos,5,0.0,11404.0
PH_057,walking,Hos,5,6.938456343082712,6991.0
PH_058,walking,Hos,5,0.0,17926.0
PH_059,walking,Hos,5,4.474068654405897,18748.0
PH_060,walking,Hos,5,0.5207477621861178,4696.0
PH_061,walking,Hos,5,0.0,18720.0
PH_062,walking,Hos,5,0.0,13612.0
PH_063,walking,Hos,5,0.0,14060.0
PH_064,walking,Hos,5,0.0,13467.0
PH_065,walking,Hos,5,0.0,21845.0
PH_066,walking,Hos,5,0.0,7079.0
