HousingType,facility_type,mode,Tr,mean,std,count
HOS,Hos,driving,15,1.9903403513911564,1.117482024682112,26
HOS,Hos,driving,30,1.6335734131618196,0.16309217584732016,26
HOS,Hos,driving,60,1.513228165534529,0.03160099725921904,26
HOS,Hos,transit,15,0.12097735481948166,0.4448210532543599,26
HOS,Hos,transit,30,1.018141481470475,0.831508991945999,26
HOS,Hos,transit,60,1.3768118225173749,0.25532803721081504,26
HOS,Hos,walking,5,1.6588896381491578,3.9172402248362332,26
HOS,Hos,walking,10,1.7954240444563072,2.798538859234665,26
HOS,Hos,walking,15,1.75328684961398,2.243653877718217,26
HOS,Kin,driving,15,0.020820561615291857,0.005809974833209502,26
HOS,Kin,driving,30,0.02738170645251894,0.002900932041224879,26
HOS,Kin,driving,60,0.029287345066354626,0.0006658085632190994,26
HOS,Kin,transit,15,0.012994459512940223,0.026061643389778053,23
HOS,Kin,transit,30,0.01939801650489942,0.010201091458873553,23
HOS,Kin,transit,60,0.02503137443450268,0.005935436369852342,23
HOS,Kin,walking,5,0.016466411008342067,0.016777738661389405,26
HOS,Kin,walking,10,0.019795442742138427,0.014849056729528935,26
HOS,Kin,walking,15,0.022391358105665324,0.01290241500566017,26
HOS,OS,driving,15,0.3775631733347054,0.29625400499575194,26
HOS,OS,driving,30,0.6361356759693193,0.07605162207398063,26
HOS,OS,driving,60,0.6721101031099289,0.015643464270266205,26
HOS,OS,transit,15,0.9132356947830893,3.189145900334305,26
HOS,OS,transit,30,0.48319610350246095,0.40325339879118993,26
HOS,OS,transit,60,0.6027292165251034,0.1568651249360626,26
HOS,OS,walking,5,0.012142682776312723,0.06191577642378558,26
HOS,OS,walking,10,0.2222732154451184,0.4347357691639566,26
HOS,OS,walking,15,0.38690967227439016,0.6053286162257921,26
HOS,Pri,driving,15,0.0051085453433224815,0.001909525267954593,26
HOS,Pri,driving,30,0.005487775236104905,0.00046390075386916284,26
HOS,Pri,driving,60,0.005345810835707647,9.704713686456832e-05,26
HOS,Pri,transit,15,0.003639157668949614,0.013003253279676042,26
HOS,Pri,transit,30,0.004265361103442936,0.002540052916649488,26
HOS,Pri,transit,60,0.005071520703805058,0.0010520849607665713,26
HOS,Pri,walking,5,0.0036859518387434833,0.005963783811735975,26
HOS,Pri,walking,10,0.003024805679166841,0.002837689146268431,26
HOS,Pri,walking,15,0.0041351030402657024,0.0037177230806442014,26
HOS,Ss,driving,15,0.006831833709335789,0.003811681502283488,26
HOS,Ss,driving,30,0.008852629121854515,0.001495271948696499,26
HOS,Ss,driving,60,0.009227874190327426,0.0002881100722186465,26
HOS,Ss,transit,15,0.0026769674611661766,0.005077904076117111,26
HOS,Ss,transit,30,0.005503703505981608,0.003941910219022207,26
HOS,Ss,transit,60,0.008048292494740667,0.002212919587786292,26
HOS,Ss,walking,5,0.009620845328989778,0.01571745924049974,26
HOS,Ss,walking,10,0.006278525191881231,0.0062715977788007585,26
HOS,Ss,walking,15,0.005988699965199476,0.0038746463261125014,26
Private,Hos,driving,15,1.7815384522983604,1.246791934718435,45
Private,Hos,driving,30,1.4748588057085485,0.17919996707257033,45
Private,Hos,driving,60,1.4790965440211927,0.03794828241642989,45
Private,Hos,transit,15,1.8352328236845188,6.050765029606076,45
Private,Hos,transit,30,1.6714820916921682,0.9401908790302929,45
Private,Hos,transit,60,1.5474007698307626,0.23560307389232213,45
Private,Hos,walking,5,2.535206955295475,8.186634753692484,45
Private,Hos,walking,10,2.267704215735707,7.183444586592119,45
Private,Hos,walking,15,2.3102132283215253,6.014853521016504,45
Private,Kin,driving,15,0.02315199083599557,0.006896229237907227,45
Private,Kin,driving,30,0.027491717894758516,0.0025633271455454605,45
Private,Kin,driving,60,0.029306401825042044,0.0005848308653332583,45
Private,Kin,transit,15,0.014742056951621865,0.033080539457734225,45
Private,Kin,transit,30,0.033743064563434365,0.01895327185661668,45
Private,Kin,transit,60,0.03180022239515941,0.005016567339621665,45
Private,Kin,walking,5,0.0313588206823823,0.032362688660527834,45
Private,Kin,walking,10,0.03708009309325043,0.04505335983586557,45
Private,Kin,walking,15,0.04651760310911963,0.05641921280413537,45
Private,OS,driving,15,0.6796040687314344,0.6600732363606727,45
Private,OS,driving,30,0.5652730573760802,0.10077321429567616,45
Private,OS,driving,60,0.6420512000956582,0.03395982704334155,45
Private,OS,transit,15,0.35585213568593477,1.3920040430979093,45
Private,OS,transit,30,0.9559343199981045,0.9533480729771912,45
Private,OS,transit,60,0.7809383120891795,0.11341115294251948,45
Private,OS,walking,5,0.48811929479278704,1.3435380305193765,45
Private,OS,walking,10,0.7513108052433054,1.324545554886951,45
Private,OS,walking,15,0.7312116017492629,0.9883421412047162,45
Private,Pri,driving,15,0.00423523961788032,0.0016002488318743234,45
Private,Pri,driving,30,0.004487605280227631,0.0007003058900460924,45
Private,Pri,driving,60,0.005067141897441631,0.00021270806951569668,45
Private,Pri,transit,15,0.004169594718803031,0.01277490449339596,45
Private,Pri,transit,30,0.005841034143085138,0.003326333548358912,45
Private,Pri,transit,60,0.0055444521059332345,0.0008688239623418307,45
Private,Pri,walking,5,0.005925083280390011,0.00962136564221796,45
Private,Pri,walking,10,0.007509987545175359,0.012908930312939356,45
Private,Pri,walking,15,0.0075658591548891235,0.008408767134656185,45
Private,Ss,driving,15,0.008917946823569186,0.007120333185169367,45
Private,Ss,driving,30,0.008465603876151624,0.001583383225123353,45
Private,Ss,driving,60,0.009002125790642683,0.0004220138262640733,45
Private,Ss,transit,15,0.004241506307491603,0.010642437937002544,45
Private,Ss,transit,30,0.008815544746386851,0.006538374038914525,45
Private,Ss,transit,60,0.010245545318626386,0.0018325034279187678,45
Private,Ss,walking,5,0.009538811489626138,0.02373901035047335,45
Private,Ss,walking,10,0.011357992051565477,0.02347677165528097,45
