ID,facility_type,facility_name,facility_sc,map_latitude,map_longitude,Total_supply,,,,
HS_001,Hospital,Caritas Medical Centre Family Medicine Clinic,明爱医院家庭医学诊所,22.34063,114.15231,63156,,,,
HS_002,Hospital,Central Kowloon Health Centre,中九龙诊所,22.32241,114.17904,123653,,,,
HS_003,Hospital,Cheung Sha Wan Jockey Club General Out-patient Clinic,长沙湾赛马会普通科门诊诊所,22.34047,114.15852,89284,,,,
HS_004,Hospital,East Kowloon General Out-patient Clinic,东九龙普通科门诊诊所,22.33952,114.20795,102088,,,,
HS_005,Hospital,Hong Kong Buddhist Hospital General Out-patient Clinic,香港佛教医院普通科门诊诊所,22.33568,114.18874,40940,,,,
HS_006,Hospital,Hung Hom Clinic,红磡诊所,22.30814,114.1856,54060,,,,
HS_007,Hospital,Kowloon Bay Health Centre General Out-patient Clinic,九龙湾健康中心普通科门诊诊所,22.32863,114.2071,78575,,,,
HS_008,Hospital,Kwong Wah Hospital GOPD,广华医院全科门诊部,22.31547,114.17168,107723,,,,
HS_009,Hospital,Kwun Tong Community Health Centre,观塘社区健康中心,22.31491,114.22604,223079,,,,
HS_010,Hospital,Lam Tin Polyclinic General Out-patient Clinic,蓝田分科诊所普通科门诊诊所,22.31057,114.23333,101492,,,,
HS_011,Hospital,Lee Kee Memorial Dispensary,李基纪念医局,22.33037,114.18904,48675,,,,
HS_012,Hospital,Li Po Chun General Out-patient Clinic,李宝椿普通科门诊诊所,22.32275,114.16612,71013,,,,
HS_013,Hospital,Nam Cheong Family Medicine Clinic,南昌家庭医学诊所,22.33036,114.15418,27181,,,,
HS_014,Hospital,Nam Shan General Out-patient Clinic,南山普通科门诊诊所,22.33413,114.17068,17794,,,,
HS_015,Hospital,Ngau Tau Kok Jockey Club General Out-patient Clinic,牛头角赛马会普通科门诊诊所,22.31707,114.21696,135654,,,,
HS_016,Hospital,Our Lady of Maryknoll Hospital Family Medicine Clinic,圣母医院家庭医学诊所,22.34559,114.19657,122965,,,,
HS_017,Hospital,Queen Elizabeth Hospital,伊利沙伯医院,22.30886,114.17519,3533,,,,
HS_018,Hospital,Robert Black General Out-patient Clinic,柏立基普通科门诊诊所,22.33249,114.19563,82026,,,,
HS_019,Hospital,Shek Kip Mei General Out-patient Clinic,石硖尾普通科门诊诊所,22.33184,114.16741,35314,,,,
HS_020,Hospital,Shun Lee General Out-patient Clinic,顺利普通科门诊诊所,22.33001,114.22689,55288,,,,
HS_021,Hospital,Shun Tak Fraternal Association Leung Kau Kui Clinic,顺德联谊会梁銶琚诊所,22.31714,114.18799,98753,,,,
HS_022,Hospital,United Christian Hospital,基督教联合医院,22.32229,114.2279,50601,,,,
HS_023,Hospital,Wang Tau Hom Jockey Club General Out-patient Clinic,横头磡赛马会普通科门诊诊所,22.33911,114.18538,43653,,,,
HS_024,Hospital,West Kowloon General Out-patient Clinic,西九龙普通科门诊诊所,22.33186,114.16045,86752,,,,
HS_025,Hospital,Wu York Yu General Out-patient Clinic,伍若瑜普通科门诊诊所,22.34692,114.19749,35598,,,,
HS_026,Hospital,Yau Ma Tei Jockey Club General Out-patient Clinic,油麻地赛马会普通科门诊诊所,22.30962,114.16927,190189,,,,
K_001,Kindergarten,HEEP YUNN SCHOOL PRIVATE KINDERGARTEN,,22.3213595,114.1856778,240,,,,
K_002,Kindergarten,FIRST ASSEMBLY OF GOD KINDERGARTEN  (Name in the past: FIRST ASSEMBLY OF GOD PRIMARY SCHOOL AND KINDERGARTEN),,22.3206192,114.1737296,267,,,,
K_003,Kindergarten,AMOY COLLEGE,,22.32188332,114.1846878,77,,,,
K_004,Kindergarten,SUN ISLAND ENGLISH KINDERGARTEN,,22.3214495,114.1900358,323,,,,
K_005,Kindergarten,ST. ROSE OF LIMA'S KINDERGARTEN,,22.32671487,114.1753699,600,,,,
