Hospital,Overall
Hong Kong Buddhist Hospital,  376
Hong Kong Children's Hospital,  278
Hong Kong Eye Hospital,  45
Kowloon Hospital, 1 363
Kwong Wah Hospital, 1 229
Our Lady of Maryknoll Hospital,  236
Queen Elizabeth Hospital, 2 018
Tung Wah Group of Hospitals Wong Tai Sin Hospital,  531
Haven of Hope Hospital,  601
Tseung Kwan O Hospital,  835
United Christian Hospital, 1 574
Caritas Medical Centre, 1 297
Kwai Chung Hospital,  955
North Lantau Hospital,  180
Princess Margaret Hospital, 1 818
Yan Chai Hospital,  809
