estate_name,district_name,region_name,map_latitude,map_longitude,sold_under,year_of_completion,type_of_block,no_of_blocks,name_of_block,no_of_flats,gross_floor_area_of_flt,saleable_area_of_flats,initial_sale_price,owners_corporation,reg_management_office,property_management,carpark_management,court_website,further_information
Yee Ching Court,Sham Shui Po,Kowloon,22.33214,114.15979,13C,1993,Harmony,3,Han Ching House Ning Ching House Yat Ching House,672,55 - 82,39 - 59,568700 - 1038400,Formed,Kowloon West and Sai Kung District Tenancy Management Office (3) G/F  Lai Ping House  Lai On Estate  Sham Shui Po Telephone: 2725 5750 Fax: 2708 3870,Appointed by Owners' Corporation,-,-,-
Po Hei Court,Sham Shui Po,Kowloon,22.33728,114.15941,14B,1993,Non-Standard,2,Fu Hei House Wing Hei House,390,52 - 72,41 - 58,828900 - 1333700,Formed,Kowlooon West and Sai Kung District Tenancy Management Office (11) G/F.  Lai Mei House  Lai Kok Estate  Sham Shui Po Telephone: 2361 0070 Fax: 2148 2463,Appointed by Owners' Corporation,-,-,-
Po Lai Court,Sham Shui Po,Kowloon,22.33816,114.15819,8B,1987,Non-Standard,3,Po Fook House Po Chak House Po Hong House,378,49 - 58,38 - 45,256500 - 353300,Formed,Kowloon West and Sai Kung District Tenancy Management Office (11) G/F  Lai Mei House  Lai Kok Estate  Sham Shui Po  Telephone: 2361 0070 Fax: 2148 2463,Appointed by Owners' Corporation,-,-,-
Yee Kok Court,Sham Shui Po,Kowloon,22.33325,114.1578,3A 5A,1981,Old-Cruciform,7,Yee Lok House Yee Mei House Yee Kin House Yee Tai House Yee Hong House Yee Yan House Yee Sau House,694,61 - 63,49 - 49,279900 - 375900,Formed,Kowloon West and Sai Kung District Tenancy Management Office (3) G/F  Lai Ping House  Lai On Estate  Sham Shui Po Telephone: 2725 5750 Fax: 2708 3870,Appointed by Owners' Corporation,Owned and operated by private corporation,-,-
Hoi Fu Court,Yau Tsim Mong,Kowloon,22.3164,114.16434,Buy-or-Rent Option,2000,Harmony,1,Hoi Ning Court,629,26 - 81,19 - 59,402300 - 1702500,Formed,Kowlooon West and Sai Kung District Tenancy Management Office (11) G/F  Hoi Tai House  Hoi Fu Court Mongkok  Telephone: 2625 4370 Fax: 2625 5071,Creative Property Services Consultants Ltd. G/F  Hoi Lam House  Hoi Fu Court  Mong Kok Telephone: 2625 4640 Fax: 2625 4397,Owned and operated by private corporation,-,-
Charming Garden,Yau Tsim Mong,Kowloon,22.3137,114.165,19A  19B,1998,Private Sector Participation Scheme,18,Block 1 - Block 18,3 908,46 - 64,40 - 55,1337100 - 2754000,Formed,Kowlooon West and Sai Kung District Tenancy Management Office (11) G/F  Hoi Tai House   Hoi Fu Court Mongkok  Telephone: 2625 4370  Fax: 2625 5071,Appointed by Owners' Corporation,-,-,-
Kwun Fai Court,Kowloon City,Kowloon,22.31406,114.18245,Mortgage Subsidy Scheme,1999,Harmony,2,Ming Fai House Ko Fai House,300,51 - 80,26 - 58,533200 - 1359700,Formed,Kowloon West & Sai Kung District Tenancy Management Office (4)  G/F  Nga Man House  Homantin Estate  Kowloon  Telephone : 2242 0277 Fax : 2194 1305,Urban Property Management Ltd. G/F  Ming Fai House  Kwun Fai Court  No. 1 Sheung Lok Street  Homantin. Telephone: 2242 0603 Fax: 2242 0603 Web site: www.urban.com.hk,-,-,-
Kwun Hei Court,Kowloon City,Kowloon,22.31437,114.18327,21A,2000,Harmony,1,Kwun Hei Court,796,26 - 75,19 - 55,373000 - 1634100,Formed,Kowloon West & Sai Kung District Tenancy Management Office (4)  G/F  Nga Man House  Homantin Estate  Kowloon  Telephone : 2242 0277 Fax : 2194 1305,Appointed by Owners' Corporation,-,-,-
Pang Ching Court,Wong Tai Sin,Kowloon,22.34578,114.19072,12B,1991,Trident 3,1,Pang Ching Court,816,46 - 64,35 - 49,327000 - 534500,Formed,Wong Tai Sin District Tenancy Management Office (4) Podium  Temple Mall North  136 Lung Cheung Road  Wong Tai Sin Telephone: 3572 0040 Fax: 3572 0044,Appointed by Owners' Corporation,Owned and operated by private corporation,-,-
Hong Nga Court,Kwun Tong,Kowloon,22.30568,114.23831,13C 14A,1993,Harmony,3,Tao Nga House Lai Nga House Heng Nga House,1 824,55 - 82,40 - 60,571400 - 1140500,Formed,Housing Department Shun On Estate Office G/F  On Chung House  Shun On Estate  Kwun Tong  Kowloon Telephone: 2342 8259 Fax: 2763 6041,Appointed by Owners' Corporation,,-,-
Hang Chun Court,Sham Shui Po,Kowloon,22.33621,114.15303,21A,2001,NCB,2,Chun Lai House Chun Yin House,740,46 - 74,37 - 59,796800 - 1684000,Formed,Kowloon West & Sai Kung District Tenancy Management Office(3) G/F  Lai Mei House  Lai Kok Estate  Sham Shui Po Tel: 2361 0070  (24-Hr Telephone: 2204 1027) Fax: 2148 2463,Appointed by Owners' Corporation,Yue Xiu APT Parking Limited 27/F.  Seabright Plaza  9-23 Shell Street  North Point  Hong Kong Telephone: 2512 9611 Fax: 2512 9617 Email: info@yuexiuproperty.com,-,-
Chun Man Court,Kowloon City,Kowloon,22.31508,114.17976,1,1981,Non-Standard,12,Man Fuk House Man Pan House Man Lan House Man Hor House Man Chung House Man Hoi House Man Hung House Man Hei House Man Ming House Man Oi House Man Shui House Man Yin House,1 800,54 - 66,45 - 55,123500 - 165900,Formed,Kowloon West and Sai Kung 1 District Tenancy Management Office 407-415  Kar Man House  Oi Man Estate  Homantin  Kowloon. Telephone: 2713 0121 Fax: 2768 7653,Appointed by Owners' Corporation,Yue Xiu Apt Parking Limited Ground Floor  Kwun Shan Court  60 Ko Shan Road  To Kwa Wan  Kowloon Tel: 2365 2378 Fax: 2385 4600,-,-
Grand View Garden,Wong Tai Sin,Kowloon,22.34114,114.20753,20A,2000,Private Sector Participation Scheme,6,Tower 1 - Tower 6,2 230,44 - 63,38 - 54,835800 - 1594700,Formed,Tsz Wan Shan District Tenancy Management Office  Unit 211-224  Ban Fung House  Fung Tak Estate  Kowloon. Telephone: 2324 0096 Fax: 2752 8665,Appointed by Owners' Corporation,-,-,-
Fung Chuen Court,Wong Tai Sin,Kowloon,22.34397,114.19927,13B,1991,Trident,1,Fung Chuen Court,612,46 - 73,34 - 55,398800 - 815300,Formed,Tsz Wan Shan District Tenancy Management Office  Room 211-224  Ban Fung House  Fung Tak Estate  Telephone: 2324 0096  Fax: 2752 8665,Appointed by Owners' Corporation,-,-,-
Fung Lai Court,Wong Tai Sin,Kowloon,22.34435,114.2025,18A,1997,NCB,2,Fung Hei House Fung Yan House,690,46 - 75,37 - 59,759300 - 1689000,Formed,Tsz Wan Shan District Tenancy Management Office  Room 211-224  Ban Fung House  Fung Tak Estate  Telephone: 2324 0096  Fax: 2752 8665,Appointed by Owners' Corporation,Owned and operated by private corporation,-,-
Tsui Chuk Garden,Wong Tai Sin,Kowloon,22.34677,114.18889,10B  10C  12B,1989  1991,Private Sector Participation Scheme,14,Block 1 - Block 14,3 524,44 - 62,40 - 56,285500 - 707300,Formed,Wong Tai Sin District Tenancy Management Office (4) Podium  Temple Mall North  136 Lung Cheung Road  Wong Tai Sin Telephone: 3572 0040 Fax: 3572 0044,Appointed by Owners¡¦ Corporation,-,-,-
Tin Wang Court,Wong Tai Sin,Kowloon,22.34456,114.18732,13A,1992,NCB,3,Wang King House Wang Yuen House Wang Mei House,630,48 - 77,37 - 59,494900 - 978900,Formed,Wong Tai Sin District Tenancy Management Office (4) Podium  Temple Mall North  136 Lung Cheung Road  Wong Tai Sin Telephone: 3572 0040 Fax: 3572 0044,Appointed by Owners' Corporation,Owned and operated by private corporation,-,-
Sun Lai Garden,Wong Tai Sin,Kowloon,22.34087,114.20894,7B,1985,Private Sector Participation Scheme,3,Block A Block B Block C,600,41 - 54,35 - 46,180900 - 320900,Formed,Tsz Wan Shan District Tenancy Management Office  Unit 211-224  Ban Fung House  Fung Tak Estate  Diamond Hill Telephone: 2324 0096 Fax: 2752 8665,Appointed by Owners' Corporation,-,-,-
King Lai Court,Wong Tai Sin,Kowloon,22.34136,114.21139,11A,1989,NCB,2,King Cheong House King Tai House,700,47 - 76,37 - 59,293700 - 593500,Formed,Tsz Wan Shan District Tenancy Management Office  Unit 211-224  Ban Fung House  Fung Tak Estate  Kowloon. Telephone: 2324 0096 Fax: 2752 8665,Appointed by Owners' Corporation,Owned and operated by private corporation,-,-
Tin Ma Court,Wong Tai Sin,Kowloon,22.34315,114.18798,8A,1986,Windwill,5,Chun Sing House Chun Wai House Chun Fei House Chun On House Chun Hong House,2 800,42 - 52,31 - 38,150000 - 290000,Formed,Wong Tai Sin District Tenancy Management Office (4) Podium  Temple Mall North  136 Lung Cheung Road  Wong Tai Sin Telephone: 3572 0040 Fax: 3572 0044,Appointed by Owners' Corporation,Owned and operated by private corporation,-,-
Kingsford Terrace,Wong Tai Sin,Kowloon,22.34056,114.21115,Sales of Surplus HOS Flat Phase 1 & 2,2003,PSPS,5,Block 1 Block 2 Block 3 Block 4 Block 5,2010,46 - 64,39 - 55,981500 - 1985600,Not Yet Formed,Tsz Wan Shan District Tenancy Management Office Unit 211-224  Ban Fung House   Fung Tak Estate  Kowloon. Telephone: 2324 0096 Fax: 2752 8665,Urban Property Management Limited G/F.  Block 2  Kingsford Terrace   8 King Tung Street  Ngau Chi Wan   Kowloon. Telephone: 2325 5019 Fax: 2325 5045 E-mail:kt@emo.urban.com.hk,Urban Property Management Limited G/F.  Block 2  Kingsford Terrace   8 King Tung Street  Ngau Chi Wan  Kowloon. Telephone: 2325 5019 Fax: 2325 5045          E-mail:kt@emo.urban.com.hk,-,-
King Hin Court,Wong Tai Sin,Kowloon,22.34122,114.20884,Sales of Surplus HOS Flat Phase 4,2002,New Cruciform Block,1,King Hin Court,344,46 - 79,37 - 63,874300 - 2355400,Formed,Tsz Wan Shan District Tenancy Management Office  Unit 211-224  Ban Fung House  Fung Tak Estate  Kowloon. Telephone: 2324 0096 Fax: 2752 8665,Appointed by Owners' Corporation,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/KingHinCourtCarpark-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>
King Shan Court,Wong Tai Sin,Kowloon,22.34212,114.21061,4A  4B,1982,Flexi 1,6,King Fung House King Pik House King Kui House King Ying House King Yiu House King Wai House,1 584,46 - 63,38 - 52,160600 - 267300,Formed,Tsz Wan Shan District Tenancy Management Office  Unit 211-224  Ban Fung House  Fung Tak Estate  Kowloon. Telephone: 2324 0096 Fax: 2752 8665,Appointed by Owners' Corporation,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/KingShanCourtCarpark-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>
Lung Poon Court,Wong Tai Sin,Kowloon,22.34204,114.19985,8B  13A,1987,NCB,7,Lung San House Lung Wu House Lung Chu House Lung Kei House Lung Cheung House Lung Pik House Lung Wan House,3 680,43 - 76,31 - 59,154600 - 1000700,Formed,Tsz Wan Shan District Tenancy Management Office  Unit 211-224  Ban Fung House  Fung Tak Estate   Kowloon. Telephone: 2324 0096  Fax: 2752 8665,Appointed by Owners' Corporation,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,-
Tak Keung Court,Wong Tai Sin,Kowloon,22.3388,114.18598,21A,2001,NCB,2,Tak Yin House Tak Wah House,700,47 - 76,37 - 60,879400 - 1922800,Formed,Lok Fu Estate Office Podium Level 1   Hong Kong Housing Authority Customer Service Centre  3 Wang Tau Hom South Road  Kowloon Telephone: 2336 5144 Fax: 2337 6523,Appointed by Owners' Corporation,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/TakKeungCourtCarpark_barrier_free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>
