ID,estate_chi,estate_eng,HousingType,Latitude,Longitude,adhz,t_pop,age_1,age_2,age_3,age_4,age_2-4,age_5,born_chi,born_else,born_hk,dh,dhc_nc,dhc_oth,dhc_re,dhi_sb_1,dhi_sb_2,dhi_sb_3,dhi_sb_4,dhi_sb_e1,dhi_sb_e2,dhi_sb_e3,dhi_sb_e4,dhm_loan,dhm_lr,dhz_1,dhz_2,dhz_3,dhz_4,dhz_5,dhz_6,dm_r,dmr_ir,edu_pri_be,edu_psec,edu_sec,estate,ethn_chi,ethn_ind,ethn_oth,ethn_phi,ethn_wh,fa_m,ma_econhh,ma_f,ma_hh,ma_m,mearn_xfdhfw_sb_1,mearn_xfdhfw_sb_2,mearn_xfdhfw_sb_3,mearn_xfw_sb_1,mearn_xfw_sb_2,mearn_xfw_sb_3,ms_m_f,ms_ma_m,ms_nm_f,ms_nm_m,ms_wds_f,ms_wds_m,nwp_care,nwp_hm,nwp_oth,nwp_re,nwp_st,pls_diff_hk,pls_diff_kln,pls_diff_nt,pls_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth,plw_hm,plw_nofix,plw_out,plw_same,pop_f,pop_m,readchi_ablepctn,readeng_ablepctn,s_diff_oth,sr,t_ma,t_mmearn,t_mmearn_xfdh,t_nwp,t_wp,ul_can,ul_eng,ul_oth,ul_othchi,ul_put,whr_1,whr_2,whr_3,whr_4,whr_5,whr_6,wp_a,wp_b,wp_c,wp_d,wp_e,wp_ee,wp_er,wp_f,wp_fw,wp_g,wp_h,wp_i,wp_j,wp_k,wp_l,wp_m,wp_n,wp_o,wp_p,wp_q,wp_r,wp_s,wp_se,wp_t,writechi_ablepctn,writeeng_ablepctn,Shape_Length,Shape_Area
C_001,富榮花園,Charming Garden,HOS,22.31420707,114.1645941,3,11335,1235,1002,2484,4472,7958,2142,2897,850,7588,3755,2357,508,890,469,567,823,1896,148,457,747,1885,8500,15.4,440,1037,1052,691,384,151,18500,30.5,1543,4099,4458,20007,10421,270,284,343,17,55,48000,48.8,40930,48.1,567,1409,3394,1203,1409,3394,3214,2888,1477,1386,885,250,187,418,809,2198,1717,176,554,190,740,1142,1179,814,91,675,799,78,1228,6224,5111,92.3,76.4,24,821,48.5,20000,23010,5329,6006,10260,438,145,72,139,350,439,2131,1940,757,389,726,806,1483,971,623,5356,230,280,-,217,900,-,178,505,1069,557,317,185,392,731,1308,750,420,14,91.4,74.1,1105.488507,37928.15799
C_002,祥和苑,Cheung Wo Court,HOS,22.31907611,114.2263859,2.7,4039,290,324,910,1193,2427,1322,1202,238,2599,1477,1025,272,180,406,266,338,467,80,141,317,450,11260,21.8,236,492,396,230,93,30,12880,44.8,711,1214,1824,20010,3833,77,68,45,16,41,36690,54.9,23140,57.9,229,712,737,351,712,737,1212,1173,434,488,308,134,63,232,266,1258,413,22,92,89,210,374,387,259,30,135,191,8,423,2126,1913,95.1,63.8,6,900,56.5,16570,17500,2232,1807,3688,94,42,56,56,104,204,547,629,131,192,111,197,375,330,326,1629,36,68,7,133,267,-,41,152,285,165,68,91,175,383,270,177,135,-,92,61.4,977.4274741,34198.82006
C_003,彩興苑,Choi Hing Court,HOS,22.33166691,114.2137386,2.7,3500,548,191,1427,763,2381,571,1139,165,2196,1283,970,104,209,89,131,519,544,31,119,510,544,12000,27.5,95,548,328,253,41,18,-,-,477,1433,1042,20172,3362,33,28,77,-,36,38500,39,38070,38.4,102,556,1102,194,556,1102,915,860,423,298,362,94,84,150,239,560,615,33,366,84,84,404,473,318,70,92,209,40,246,1923,1577,96,76.7,-,820,38.5,21000,22000,1648,1852,3039,23,48,126,49,106,67,615,725,204,135,308,179,445,288,312,1745,33,127,-,43,150,-,79,154,390,130,60,121,174,276,254,192,74,22,93.7,70.6,636.5968125,11763.83784
C_004,俊民苑,Chun Man Court,HOS,22.31483144,114.1787874,2.9,4929,581,245,1280,1495,3020,1328,835,409,3685,1684,1189,285,210,315,158,419,792,57,55,383,777,12000,20.8,188,522,427,344,183,20,16000,31.4,561,1840,1947,20019,4601,158,-,170,-,49,47770,48.8,35470,50.5,197,625,1342,525,625,1342,1678,1353,408,482,288,139,88,121,278,1228,714,69,86,80,504,617,678,259,79,359,187,21,300,2666,2263,92.1,78.5,-,849,49.7,20000,23750,2429,2500,4590,142,53,51,14,121,170,813,917,200,279,239,404,598,413,297,2282,44,55,8,50,444,-,44,136,443,111,83,96,211,318,664,379,166,15,91.4,76.5,913.0734049,23177.40263
C_005,富強苑,Fu Keung Court,HOS,22.3400544,114.1847606,2.7,3557,203,327,782,1255,2364,990,708,199,2650,1283,755,183,345,243,310,279,451,104,155,279,451,8060,12.2,165,516,307,163,97,35,**,**,457,1215,1682,20025,3408,87,-,62,-,54,36500,56.1,21970,53.9,189,699,764,338,699,764,1069,978,470,520,269,48,33,185,228,841,451,42,189,19,139,393,550,327,52,149,244,36,68,1961,1596,94.5,74.6,-,814,55.4,17500,18500,1738,1819,3303,57,54,50,46,196,117,492,719,232,63,115,190,514,259,325,1688,36,58,18,37,321,-,42,42,266,150,93,62,65,316,483,300,77,-,93.5,73.2,656.3340977,22678.5228
C_006,宏景花園,Grand View Garden,HOS,22.34147382,114.2074404,3,6615,574,620,1320,3050,4990,1051,1400,347,4868,2171,1280,299,592,225,318,618,1010,75,262,527,1010,6500,20.2,280,455,754,376,192,114,-,-,1030,1909,3102,20032,6263,207,67,78,-,53,40380,50.6,37230,51.1,406,1124,1831,707,1124,1831,1806,1674,1068,744,607,142,77,278,546,1160,858,-,338,69,453,711,1224,513,74,301,476,34,363,3784,2831,92.2,75.5,42,748,50.8,19900,20000,2919,3696,6259,111,-,48,20,218,195,1427,1316,380,160,226,322,784,671,589,3415,64,237,34,326,541,-,200,289,591,367,109,204,145,490,820,455,183,26,91.4,73,678.373879,25700.35159
C_007,曉麗苑,Hiu Lai Court,HOS,22.32043626,114.2292572,3,13786,1284,1221,3068,5406,9695,2807,3396,687,9703,4604,2823,764,1017,740,635,1310,1919,116,483,1289,1919,8600,23.4,680,1187,1131,963,469,174,11680,34.3,2341,3947,6214,20038,13255,360,33,129,9,50,40200,50.4,32230,52,792,2387,3381,1309,2387,3381,3958,3680,1925,1610,1119,210,338,627,1066,2828,1850,138,607,255,1021,1568,1124,692,198,661,1199,47,1588,7570,6216,93.7,68.8,34,821,51.1,18500,20000,6709,7077,12819,217,34,298,43,396,455,2665,2374,821,366,453,747,1389,1365,1315,6369,218,435,-,327,1034,12,292,720,983,592,463,200,606,1004,1406,724,490,87,91.7,66.4,1020.528776,46813.27838
C_008,凱樂苑,Hoi Lok Court,HOS,22.32783546,114.1495678,2.9,7247,1177,450,2830,1527,4807,1263,2473,332,4442,2497,1686,314,497,308,345,948,896,90,327,948,896,11000,32.2,262,829,610,587,119,90,**,**,907,2333,2830,20171,6938,94,82,120,13,44,35070,40.1,31480,38.5,285,1322,1824,499,1322,1824,2120,1973,637,530,605,205,117,481,710,1139,1145,116,304,278,432,662,1046,745,90,231,525,36,320,3883,3364,93.6,72,9,866,39.5,20000,20000,3592,3655,6165,85,85,236,136,106,254,1621,1103,453,118,224,530,725,578,607,3355,50,212,10,133,646,-,118,366,574,251,214,192,293,497,787,353,240,10,91.6,68.8,575.5629205,19942.48045
C_009,康雅苑,Hong Nga Court,HOS,22.30548132,114.2380783,2.8,4971,346,527,1147,1744,3418,1207,1100,268,3603,1772,1296,248,228,312,199,529,732,20,169,529,732,12500,23.1,237,591,470,294,130,50,15500,21,946,1637,2042,20042,4781,93,20,77,-,50,40330,52.7,33450,48.1,226,769,1382,396,769,1382,1283,1243,734,848,397,120,68,250,357,1105,644,119,186,82,295,619,500,208,121,238,256,55,550,2577,2394,94.4,69.5,14,929,51.9,20000,21250,2424,2547,4520,72,51,146,49,152,127,628,1065,404,171,252,201,679,549,439,2363,63,126,-,28,273,-,34,237,470,147,205,106,229,449,446,224,121,-,91.9,66.6,709.0754979,17502.87108
C_010,康柏苑,Hong Pak Court,HOS,22.30256192,114.2392893,2.8,6353,550,486,1622,2276,4384,1419,1162,227,4964,2261,1497,363,401,413,223,667,958,116,148,620,945,12000,19.9,347,628,685,395,121,85,13400,32.2,876,2256,2671,20043,6203,61,24,65,-,51,40190,50.6,32070,54.2,284,1154,1831,410,1154,1831,1786,1769,909,798,401,140,109,361,446,1404,638,122,193,44,356,942,587,242,123,139,695,64,603,3451,2902,95.2,73,15,841,51.7,20000,20000,2958,3395,5947,90,60,13,55,150,121,1465,1127,260,272,289,468,850,666,482,3001,131,199,-,173,268,-,146,329,506,288,242,80,230,444,819,291,263,20,92.7,70.9,1007.087108,23449.31424
