ID,school_no,location_no,school_name,district,joining_kg_edu_scheme,received_grant_for_support_to_ncs_students,address,school_category,student_category,tel,fax,school_website,total_no_of_permitted_accommodationof_classrooms_in_use,TotalEnrollment2023,no_for_enrolment_aged_2_to_3,map_latitude,map_longitude
K_001,132870,1,HEEP YUNN SCHOOL PRIVATE KINDERGARTEN,Kowloon City,Joining,N,"1 FARM ROAD, KOWLOON CITY, KOWLOON",Non-profit-making,Girls,2714 6098,2714 6027,http://www.hykg.edu.hk,240,198,0,22.3213595,114.1856778
K_002,133779,1,FIRST ASSEMBLY OF GOD KINDERGARTEN  (Name in the past: FIRST ASSEMBLY OF GOD PRIMARY SCHOOL AND KINDERGARTEN),Kowloon City,Joining,Y,"123 ARGYLE STREET, KOWLOON CITY, KOWLOON",Non-profit-making,Co-educational,2713 2395,2713 2940,http://faogkg.edu.hk/,267,126,0,22.3206192,114.1737296
K_003,133787,1,AMOY COLLEGE,Kowloon City,Joining,N,"14 TIN KWONG ROAD, KOWLOON CITY, KOWLOON",Non-profit-making,Co-educational,2711 2463,2714 0635,www.amoy.edu.hk,77,53,0,22.32188332,114.1846878
K_004,215678,1,SUN ISLAND ENGLISH KINDERGARTEN,Kowloon City,Joining,Y,"LG/F, G/F & 1/F, PAU CHUNG BUILDING, 152 PAU CHUNG STREET, TO KWA WAN, KOWLOON",Non-profit-making,Co-educational,2714 5545,2834 3322,http://www.sunisland.edu.hk,323,212,12,22.3214495,114.1900358
K_005,312479,1,ST. ROSE OF LIMA'S KINDERGARTEN,Kowloon City,Joining,N,"G/F - 2/F, 104A BOUNDARY STREET & G/F-1/F, 104 BOUNDARY STREET, KOWLOON",Non-profit-making,Co-educational,2338 3138,2337 2623,http://www.roselima.edu.hk,600,532,0,22.32671487,114.1753699
K_006,315907,1,CHRISTIAN YOUTH CENTRE KINDERGARTEN,Kowloon City,Joining,N,"G/F, 103 WATERLOO ROAD, KOWLOON TONG, KOWLOON",Non-profit-making,Co-educational,2337 0072,2337 9798,http://www.cyckg.edu.hk,210,167,43,22.32735604,114.1779809
K_007,324078,1,KOWLOON CITY BAPTIST CHURCH KINDERGARTEN,Kowloon City,Joining,Y,"2/F - 3/F, 206 ARGYLE STREET, KOWLOON",Non-profit-making,Co-educational,2713 1875,2624 5449,http://www.kcbckg.edu.hk,257,125,0,22.32467372,114.1857945
K_008,324477,1,POOI TO PRIMARY SCHOOL,Kowloon City,Joining,Y,"3 FUK CHEUNG STREET, MA TAU CHUNG, KOWLOON",Non-profit-making,Co-educational,2711 2933,2761 3568,http://www.ptps.edu.hk,675,480,0,22.32428537,114.1863283
K_009,324647,1,ST. MARK'S CHURCH BRADBURY KINDERGARTEN,Kowloon City,Joining,Y,"G/F & 2/F - 4/F, 9 SHEK KU STREET, HOMANTIN, KOWLOON",Non-profit-making,Co-educational,2761 3191,2761 3180,http://stmarkschurch.edu.hk,190,142,0,22.31984255,114.1808829
K_010,324680,1,KOWLOON LING LIANG CHURCH KINDERGARTEN,Kowloon City,Joining,Y,"3/F, 1 GRAMPIAN ROAD, KOWLOON CITY, KOWLOON",Non-profit-making,Co-educational,2338 8344,2338 2859,http://www.kllck.edu.hk,249,147,0,22.32753639,114.1862412
K_011,324930,1,KOWLOON CANNAN ANGLO-CHINESE KINDERGARTEN,Kowloon City,Joining,Y,"G/F, 28B GRAMPIAN ROAD, KOWLOON TONG, KOWLOON",Non-profit-making,Co-educational,2336 2096,2339 0330,http://www.cannan.edu.hk,288,242,0,22.31573328,114.1881718
K_012,325040,1,MAY NGA KINDERGARTEN,Kowloon City,Joining,Y,"G/F, 148 &148A PAU CHUNG STREET, & 1/F,146-150 PAU CHUNG STREET, TO KWA WAN, KOWLOON",Non-profit-making,Co-educational,2711 2631,2713 4258,http://www.maynga.edu.hk,193,115,9,22.32127793,114.1899194
K_013,325180,1,HOLY TRINITY CENTRE KINDERGARTEN,Kowloon City,Joining,Y,"G/F, 1/F & 2/F, 139 MA TAU CHUNG ROAD, KOWLOON CITY, KOWLOON",Non-profit-making,Co-educational,2715 4265,2715 7431,http://www.htckg.edu.hk,294,269,54,22.32581137,114.1888133
K_014,325600,1,S.K.H. HOLY TRINITY CHURCH TSANG SHIU TIM KINDERGARTEN,Kowloon City,Joining,Y,"G/F - 2/F, 135 MA TAU CHUNG ROAD, KOWLOON CITY, KOWLOON",Non-profit-making,Co-educational,2713 8109,2760 4605,http://www.tstkg.edu.hk,360,280,0,22.32564883,114.188755
K_015,325775,"1,2",MAY NGA KINDERGARTEN (BRANCH),Kowloon City,Joining,Y,"SHOP A, G/F, 89 HA HEUNG ROAD & 1/F, 91 HA HEUNG ROAD, AND SHOP B, G/F, 89 HA HEUNG ROAD, TO KWA WAN, KOWLOON",Non-profit-making,Co-educational,2764 7319,2330 5307,http://www.maynga.edu.hk,226,149,0,22.31810824,114.1893561
K_016,325856,1,HONG KONG SOKA KINDERGARTEN,Kowloon City,Joining,Y,"4 MORAY ROAD, KOWLOON CITY, KOWLOON",Non-profit-making,Co-educational,2336 6090,2337 1898,http://www.soka.edu.hk,652,645,0,22.33084182,114.1801552
K_017,325988,1,PO LEUNG KUK LI TSUI CHUNG SING MEMORIAL KINDERGARTEN,Kowloon City,Joining,Y,"G/F, KA SHING LAU, 5 FAT KWONG STREET, HUNG HOM, KOWLOON",Non-profit-making,Co-educational,"2330 5506, 2303 1623",2303 0344,https://www.plkkgs.edu.hk/plkltcsmkg/,350,205,0,22.30871662,114.186337
K_018,523526,2,SUN ISLAND ENGLISH KINDERGARTEN (LOK MAN),Kowloon City,Joining,Y,"1/F, BLOCK F, LOK MAN SUN CHUEN, 152 KAU PUI LUNG ROAD, KOWLOON",Non-profit-making,Co-educational,2425 1303,2834 3322,http://www.sunisland.edu.hk,191,168,0,22.31721444,114.1859008
K_019,531910,1,CANNAN KINDERGARTEN (KOWLOON TONG),Kowloon City,Joining,N,"PORTION OF G/F & 1/F, 9 & 11 CUMBERLAND ROAD, KOWLOON TONG, KOWLOON",Non-profit-making,Co-educational,2338 3262,2336 2973,http://www.cannan.edu.hk,784,761,0,22.3280514,114.1764182
K_020,536024,1,HOMANTIN BAPTIST CHURCH KINDERGARTEN,Kowloon City,Joining,Y,"G/F, BLOCK 5, SIK MAN HOUSE, HOMANTIN ESTATE, KOWLOON",Non-profit-making,Co-educational,2242 0024,2242 0086,http://www.hmtbck.edu.hk,101,64,0,22.31499304,114.1831442
K_021,537349,1,ST. MONICA'S KINDERGARTEN,Kowloon City,Joining,Y,"G/F, KWUN HEI COURT, HOMANTIN, KOWLOON",Non-profit-making,Co-educational,2242 0082,3747 1810,http://www.stmonica.edu.hk,123,100,0,22.31448733,114.1832024
K_022,539104,1,PO LEUNG KUK TAM AU-YEUNG SIU FONG MEMORIAL KINDERGARTEN,Kowloon City,Joining,Y,"SHOP 3B, G/F, SITE 7, WHAMPOA GARDEN, HUNG HOM, KOWLOON",Non-profit-making,Co-educational,2311 3871,2366 0971,https://www.plkkgs.edu.hk/plktaysfmkg,506,471,0,22.3038848,114.1920916
K_023,563064,1,THE SALVATION ARMY LOK MAN NURSERY SCHOOL,Kowloon City,Joining,Y,"1/F, BLOCK H, LOK MAN SUN CHUEN, TO KWA WAN, KOWLOON",Non-profit-making,Co-educational,2365 1994,2764 8036,http://www.salvationarmy.org.hk/esd/lmns/,126,126,18,22.31524575,114.1863083
K_024,563579,1,TWGHS LO WONG PIK SHAN NURSERY SCHOOL,Kowloon City,Joining,Y,"UNIT 425-434, G/F, PO MAN HOUSE, OI MAN ESTATE, HO MAN TIN, KOWLOON",Non-profit-making,Co-educational,2712 9383,2712 0117,http://www.tungwahcsd.org/tc/our-services/youth-and-family-services/day-nursery-services/LWPSNS,85,57,11,22.31148928,114.1792328
K_025,563781,1,TSUNG TSIN MISSION OF HONG KONG ON KEI NURSERY SCHOOL,Kowloon City,Joining,Y,"BLOCK 9 PODIUM, OAK MANSIONS, WHAMPOA GARDEN, SITE 5, HUNG HOM, KOWLOON",Non-profit-making,Co-educational,2764 7050,2356 7200,https://oi.ttmssd.org/,92,61,13,22.3032799,114.190432
K_026,563803,1,PO LEUNG KUK LUI CHAN WAI CHING KINDERGARTEN,Kowloon City,Joining,Y,"G/F, SHEUNG LOK HOUSE, SHEUNG LOK ESTATE, SHEUNG SHING STREET, HOMANTIN, KOWLOON",Non-profit-making,Co-educational,2761 3431,2761 3088,https://www.poleungkuk.org.hk/child-care-services/lcwckgn/school-info,109,51,14,22.3201586,114.1814556
K_027,563927,1,PO LEUNG KUK LAM TING LAI LING KINDERGARTEN,Kowloon City,Joining,N,"G/F, KA ON LAU, KA WAI CHUEN, HUNG HOM, KOWLOON",Non-profit-making,Co-educational,2364 9480,2627 0247,https://www.poleungkuk.org.hk/child-care-services/ltllkgn,174,113,23,22.30866246,114.1859876
K_028,564001,1,POK OI HOSPITAL MRS YAM WING YIN KINDERGARTEN,Kowloon City,Joining,Y,"LEVEL 1, TOWER 23, LAGUNA VERDE, HUNG HOM, KOWLOON",Non-profit-making,Co-educational,2333 3279,2356 1820,https://kindergarten.pokoi.org.hk/YWY/tc/index.php,87,80,24,22.30676552,114.192616
K_029,564524,1,KOWLOON LING LIANG CHURCH DAY NURSERY,Kowloon City,Joining,N,"4/F - 5/F, 1 GRAMPIAN ROAD, KOWLOON CITY, KOWLOON",Non-profit-making,Co-educational,2337 2575,2338 2859,http://www.kllck.edu.hk,194,134,33,22.32753639,114.1862315
K_030,564567,1,LUTHERAN PHILIP HOUSE MA TAU WAI NURSERY SCHOOL,Kowloon City,Joining,Y,"UNIT 115, 117&118, G/F, MAGNOLIA HOUSE, MA TAU WAI ESTATE, KOWLOON",Non-profit-making,Co-educational,2712 8648,2714 2950,http://lphccs.edu.hk/lphmtwns,58,35,10,22.32386991,114.1871533
K_031,564869,1,HO OI DAY NURSERY (SPONSORED BY SIK SIK YUEN),Kowloon City,Joining,N,"G/F SHOP 1A, 1B, 2A & 2B, HARMONY GARDEN, 55 KOWLOON CITY ROAD, KOWLOON CITY, KOWLOON",Non-profit-making,Co-educational,2760 8360,2760 8316,https://www2.siksikyuen.org.hk/education-services/kindergartens-and-child-care-centres/ho-oi,94,75,14,22.31925514,114.189133
K_032,565016,1,HOMANTIN YANG MEMORIAL METHODIST PRE-SCHOOL,Kowloon City,Joining,Y,"G/F, UNIT 1, CHING MAN HOUSE, HOMANTIN ESTATE, KOWLOON",Non-profit-making,Co-educational,2242 0678,2242 0838,http://www.hmtps.org,94,47,9,22.31483955,114.1824842
K_033,565130,1,CANNAN KINDERGARTEN (WATERLOO ROAD),Kowloon City,Joining,N,"111 WATERLOO ROAD, KOWLOON TONG, KOWLOON",Non-profit-making,Co-educational,2336 0006,2336 0121,http://www.cannan.edu.hk,327,318,46,22.32815073,114.1781945
K_034,565229,1,HKSPC MA TAU CHUNG NURSERY SCHOOL,Kowloon City,Joining,Y,"2/F - 3/F, 107 MA TAU CHUNG ROAD, KOWLOON CITY, KOWLOON",Non-profit-making,Co-educational,2711 0787,2712 9156,https://ns.hkspc.org/mtc/,103,78,15,22.32442972,114.1884734
K_035,565288,1,HKSPC SIA WHAMPOA NURSERY SCHOOL,Kowloon City,Joining,Y,"1/F, WILLOW COURT, WHAMPOA GARDEN, HUNGHOM, KOWLOON",Non-profit-making,Co-educational,2365 0558,2773 0116,https://ns.hkspc.org/whampoa/,89,68,17,22.30499601,114.1862882
K_036,565520,1,YMCA OF HONG KONG CHRISTIAN NURSERY SCHOOL (FARM ROAD),Kowloon City,Joining,N,"PORTION OF G/F, MAJESTIC PARK, 11 FARM ROAD, KOWLOON CITY, KOWLOON",Non-profit-making,Co-educational,2246 8234,2246 8136,http://www.ymcahk.org.hk/cnsfr,88,65,17,22.3214678,114.1867649
K_037,565687,1,MAY NGA NURSERY,Kowloon City,Joining,N,"G/F, 146 & 146A PAU CHUNG STREET, TO KWA WAN, KOWLOON",Non-profit-making,Co-educational,2714 7763,2713 4258,http://www.maynga.edu.hk,52,27,0,22.32125085,114.1898514
K_038,565695,1,MARTHA BOSS LUTHERAN DAY NURSERY,Kowloon City,Joining,N,"4/F, MARTHA BOSS COMMUNITY CENTRE, 89 CHUNG HAU STREET, HO MAN TIN, KOWLOON",Non-profit-making,Co-educational,2199 9412,2199 9413,http://marthaboss-nursery.hklss.hk,140,105,21,22.31630258,114.1794076
K_039,566691,1,PO LEUNG KUK CHAN LAI WAI LIN KINDERGARTEN,Kowloon City,Joining,Y,"G/F, 1/F & 2/F, HONOUR COURT, 188-194 MA TAU WAI ROAD, KOWLOON CITY, KOWLOON",Non-profit-making,Co-educational,2364 7170,2334 4413,https://www.poleungkuk.org.hk/child-care-services/clwlkgn/school-info,122,110,11,22.31294287,114.1874243
K_040,575518,1,CANNAN KINDERGARTEN (WHAMPOA GARDEN),Kowloon City,Joining,Y,"PORTION OF G/F, COMMERCIAL PODIUM, SITE 10 WHAMPOA GARDEN, HUNG HOM, KOWLOON",Non-profit-making,Co-educational,2330 3336,2954 0896,http://www.cannan.edu.hk,358,328,0,22.30576322,114.1915872
K_041,599700,1,YMCA OF HONG KONG CHRISTIAN KINDERGARTEN (KAI CHING),Kowloon City,Joining,Y,"G/F SHEUNG CHING HOUSE, KAI CHING ESTATE, 12 MUK HUNG STREET, KOWLOON CITY, KOWLOON",Non-profit-making,Co-educational,2341 5262,2341 5477,http://www.ymcahk.org.hk/ckkc,73,58,0,22.33362113,114.2031899
K_042,600890,1,BUDDHIST MR. & MRS. CHAN CHART MAN KINDERGARTEN,Kowloon City,Joining,N,"KINDERGARTEN, TAK LONG ESTATE, 28 SHING KAI ROAD, KOWLOON",Non-profit-making,Co-educational,2795 1008,2795 1365,www.bccm.edu.hk,248,215,0,22.33177894,114.2028984
K_043,610771,1,WILLIAM (SMART) KINDERGARTEN (WHAMPOA) (LOCAL STREAM),Kowloon City,Joining,Y,"SHOP G3C(2), G/F, SITE 7, WHAMPOA GARDEN, HUNG HOM, KOWLOON",Non-profit-making,Co-educational,2333 2886,2330 3199,http://www.william-inter-kg.edu.hk,280,252,0,22.30435437,114.1923149
K_044,616001,1,HKVNS ALUMNI ASSOCIATION KINDERGARTEN (KCC),Kowloon City,Joining,Y,"G/F (PORTION) & 1/F, KOWLOON CHAMBER OF COMMERCE BUILDING, 2 LIBERTY AVENUE, HO MAN TIN, KOWLOON",Non-profit-making,Co-educational,2384 7272,2384 0633,https://www.hkvnsaaskg.edu.hk/,206,180,0,22.31849702,114.1742441
K_045,216054,1,CANNAN KINDERGARTEN (LAGUNA CITY),Kwun Tong,Joining,N,"LOWER GROUND FLOOR 1, SITE B, LAGUNA CITY, CHA KWO LING ROAD, KWUN TONG, KOWLOON",Non-profit-making,Co-educational,2717 6667,2347 1699,http://www.cannan.edu.hk,408,401,0,22.30618903,114.2288061
