Estate_Name,District_Name,Region_Name,Map_Latitude,Map_Longitude,Type_of_Estate,Year_of_Intake,Type_of_Block,No_of_Blocks,Name_of_Block,No_of_Rental_Flats,Flat_Size_m2,Estate_Management_Advisory_Committee_EMAC,District_Tenancy_Management_Office_Estate_Office,Property_Management,Carpark_Management,Estate_Website,Further_Information
Tak Long Estate,Kowloon City,Kowloon,22.330105,114.2031,Public Rental Housing,2013,Non-standard,9,Tak Cheung House Tak Sui House Tak Kei House Tak Yu House Tak Loong House Tak Shan House Tak Yiu House Tak Ying House Tak Pui House,8 200 As at 30.6.2025,14 – 37,Formed,Kowloon West & Sai Kung District Tenancy Management Office (5) G/F  Carport Building  Tak Long Estate  Kowloon Telephone: 2383 0422 Fax: 2383 0945,Kai Fu Property Services Co. Ltd G/F  Carport Building  Tak Long Estate  Kowloon Telephone: 2856 6225 Fax: 2856 6100,Kai Fu Property Services Co. Ltd G/F  Carport Building  Tak Long Estate  Kowloon Telephone: 2856 6225 Fax: 2856 6100,,<a href= /en/common/pdf/global-elements/estate-locator/TakLongEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Kai Ching Estate,Kowloon City,Kowloon,22.33254,114.20292,Public Rental Housing,2013,Non-standard,6,Hong Ching House Lok Ching House Yan Ching House Sheung Ching House Mun Ching House Yuet Ching House,5 200 As at 30.6.2025,14.05-37.58,Formed,Kowloon West & Sai Kung District Tenancy Management Office(5) 1/F  Hong Ching House  Kai Ching Estate  Kowloon Telephone: 2382 3151 Fax: 2716 7199,Kai Fu Property Services Co. Ltd. 1/F  Hong Ching House  Kai Ching Estate  Kowloon Telephone: 2426 9011 Fax: 2427 6911,Kai Fu Property Services Co. Ltd. 1/F  Hong Ching House  Kai Ching Estate  Kowloon Telephone: 2426 9011 Fax: 2427 6911,-,<a href= /en/common/pdf/global-elements/estate-locator/KaiChingEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Choi Fook Estate,Kwun Tong,Kowloon,22.328026,114.21717,Public Rental Housing,2010  2011  2021,Non-standard,5,Choi Lok House Choi Sin House Choi Hay House Choi Foon House Choi Wo House,4 500 As at 30.6.2025,21.2 - 43.6,Formed,Housing Department Kowloon East (12) District Tenancy Management Office Podium Level 2/F.  Tsui Pak House  Tsui Ping (North) Estate  Kwun Tong  Kowloon Telephone: 2793 2303 Fax: 2763 6540,Good Excel Property Consultants Ltd.  G/F  Choi Sin House  Choi Fook Estate Telephone: 3417 1090 Fax: 3197 0313 E-mail: choifook@goodexcel.com.hk,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911  Email: info@amano.com.hk,,<a href= /en/common/pdf/global-elements/estate-locator/ChoiFookEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Fu Shan Estate,Wong Tai Sin,Kowloon,22.34274,114.20913,Public Rental Housing,1978   2020,Old Slab   Non-standard,4,Fu Lai House Fu Shun House Fu Yan House Fu Fai House,2 300 As at 30.6.2025,14.05 - 34.94,Formed,Chuk Yuen District Tenancy Management Office  Unit 101-108  Yung Yuen House  Chuk Yuen (N) Estate  Wong Tai Sin  Telephone: 2351 1818  Fax: 2351 9224,Pioneer Management Ltd  Floor LG1  Fu Yan House  Fu Shan Estate  Kowloon  Telephone: 2351 2115  (24-Hr Telephone: 2327 5695)  Fax: 2351 9460,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/FuShanEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Tai Hang Tung Estate,Sham Shui Po,Kowloon,22.33268,114.17167,Public Rental Housing,1984,Linear 1  New Slab  Small Household Block,9,Tung Fai House Tung Hoi House Tung Yi House Tung Kin House Tung Lung House Tung Moon House Tung Wong House Tung Yu House Tung Shing House,2 100 As at 30.6.2025,17.7 - 50.1,Formed,Kowloon West & Sai Kung District Tenancy Management Office(4) G/F  Nam On House  Nam Shan Estate  Sham Shui Po  Telephone: 2777 3161 Fax: 2776 8371,Nice Property Management Limited G/F  Tung Wong House  Tai Hang Tung Estate  Sham Shui Po Telephone: 2788 0078 Fax: 2788 2239,Nice Property Management Limited G/F  Tung Wong House  Tai Hang Tung Estate  Sham Shui Po Telephone: 2788 0078 Fax: 2788 2239,,<a href= /en/common/pdf/global-elements/estate-locator/TaiHangTungEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Choi Tak Estate,Kwun Tong,Kowloon,22.3301,114.21279,Public Rental Housing,2010,Non-standard,8,Choi Shing House Choi Shun House Choi Yan House Choi Yee House Choi Chun House Choi King House Choi Leung House Choi Yin House,5 800 As at 30.6.2025,14.05 - 43.6,Formed,Housing Department Kowloon East (6) District Tenancy Management Office  Podium Level 3  Ning Wah House  Lok Wah (North) Estate  Ngau Tau Kok  Kowloon Telephone: 3499 1194 Fax: 3499 1153,Good Excel Property Consultants Ltd G/F  Choi Chun House  Choi Tak Estate  Ngau Tau Kok  Kowloon Telephone: 2756 9990 Fax: 2757 7300 E-mail: choitak@goodexcel.com.hk,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,,Electric vehicle charging facilities of 5 standard chargers are provided at the hourly parking spaces in the carpark at Choi Tak Shopping Centre  <a href= /en/common/pdf/global-elements/estate-locator/ChoiTakEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Upper Ngau Tau Kok Estate,Kwun Tong,Kowloon,22.31868,114.21725,Public Rental Housing,2002   2009,Harmony 1   Single Aspect Building  Non Standard,9,Sheung Mun House Sheung Yuet House Sheung Yat House Sheung Fu House Sheung Hing House Sheung Hong House Sheung Shing House Sheung Tai House Sheung Wing House,6 700 As at 30.6.2025,16.3 - 48.8,Formed,Housing Department Kowloon East (3) District Tenancy Management Office Podium Level 5  Tat Wah House  Lok Wah North Estate  Kwun Tong  Kowloon Telephone: 3543 0304 Fax: 3153 2196,Easy Living Consultant Limited G/F  Sheung Fu House  Upper Ngau Tau Kok Estate  Ngau Tau Kok Telephone: 2751 6006 Fax: 2751 6556,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/UpperNgauTauKokEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Lower Ngau Tau Kok Estate,Kwun Tong,Kowloon,22.321114,114.21527,Public Rental Housing,2012  2015,Non-standard,6,Kwai Leung House Kwai Yuet House Kwai Hin House Kwai Sun House Kwai Fai House Kwai Wah House,4 800 As at 30.6.2025,14.1 - 38.1,Formed,Housing Department Kowloon East (2) District Tenancy Management Office G/F  Fu Tong House  Yau Tong Estate  Kowloon Tel.: 2349 4189 Fax: 2174 5187,Kai Fu Property Services Company Limited Lower Ngau Tau Kok Estate Property Service Management Office  G/F of Blocks Kwai Sun House and Kwai Fai House  Lower Ngau Tau Kok Estate Tel.: 2711 2090 Fax: 2711 2390 E-mail: csa.lntk@kaifupsc.com.hk,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/LowerNgauTauKokEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Wang Tau Hom Estate,Wong Tai Sin,Kowloon,22.3409,114.18601,Public Rental Housing,1982 - 1993,Double H  Harmony 3  Linear L  Linear 1  Linear 3,18,Wang Chak House Wang Fai House Wang Kwong House Wang On House Wang Wai House Wang Chung House Wang Chiu House Wang Cho House Wang Fu House Wang Hau House Wang Hing House Wang Hin House Wang Kei House Wang Lai House Wang Leung House Wang Tak House Wang Yip House Wang Yiu House,5 900 As at 30.6.2025,12.2 - 52.3,Formed,Wang Tau Hom Estate Tenancy Management Office G/F  Wang Fai House  Wang Tau Hom Estate  Wang Tau Hom Telephone: 2336 1053 Fax: 2336 5231,Modern Living Property Management Ltd.  G/F  Wang Fai House  Wang Tau Hom Estate  Wang Tau Hom Telephone: 2336 0258 Fax: 2337 6546,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/WangTauHomEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Yau Lai Estate,Kwun Tong,Kowloon,22.30194,114.23627,Public Rental Housing,2004  2009  2010  2011  2019,NCB  Non-standard,14,Bik Lai House Chi Lai House Nga Lai House Sau Lai House Yat Lai House Yi Lai House Ying Lai House Fung Lai House Tsui Lai House Hong Lai House Yan Lai House Cheuk Lai House Yung Lai House Shun Lai House,9 000 As at 30.6.2025,14.05 - 53.6,Formed,Housing Department Kowloon East (5) District Tenancy Management Office G/F  Yi Lai House  Yau Lai Estate  Yau Tong  Kowloon Telephone: 2629 4372 Fax: 2629 4210,Kai Fu Property Services Company Limited  G/F  Fung Lai House  Yau Lai Estate  Yau Tong  Kowloon Telephone: 2629 4398 Fax: 2629 4478,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,-,<a href= /en/common/pdf/global-elements/estate-locator/YauLaiEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Lam Tin Estate,Kwun Tong,Kowloon,22.31041,114.23588,Public Rental Housing,2009,Non-standard,4,Lam Fai House Lam Tai House Lam Bik House Lam Wai House,3 000 As at 30.6.2025,17.97 - 38.05,Formed,Housing Department Lam Tin Estate Office G/F  Lam Tai House  Lam Tin Estate  Lam Tin  Kowloon Telephone: 2769 8187 Fax: 2480 6270,Housing Department Lam Tin Estate Office G/F  Lam Tai House  Lam Tin Estate  Lam Tin  Kowloon Telephone: 2769 8187 Fax: 2480 6270,Housing Department Lam Tin Estate Office G/F  Lam Tai House  Lam Tin Estate  Lam Tin  Kowloon Telephone: 2769 8187 Fax: 2480 6270,-,<a href= /en/common/pdf/global-elements/estate-locator/LamTinEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Mei Tung Estate,Wong Tai Sin,Kowloon,22.33314,114.19014,Public Rental Housing,2010  2014,Non-standard,2,Mei Yan House Mei Tak House,1 800 As at 30.6.2025,14.4 - 39.7,Formed,Mei Tung Estate Office 3/F. Mei Tak House  Mei Tung Estate 23 Pui Man Street  Wong Tai Sin  Kowloon Telephone: 2338 0521 Fax: 2338 2953,Mei Tung Estate Office 3/F. Mei Tak House  Mei Tung Estate 23 Pui Man Street  Wong Tai Sin  Kowloon Telephone: 2338 0521 Fax: 2338 2953,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/MeiTungEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities (Mei Yan House and Mei Tak House)</a>
Wing Cheong Estate,Sham Shui Po,Kowloon,22.32916,114.15537,Public Rental Housing,2013,Non-standard,2,Wing Chun House Wing Kit House,1 500 As at 30.6.2025,14.5-41.63,Formed,Kowloon West & Sai Kung District Tenancy Management Office(5) 1/F  Hong Ching House  Kai Ching Estate  Kowloon Telephone: 2382 3151 Fax: 2716 7199,Good Excel Property Consultants Ltd. G/F.  Wing Chun House  Wing Cheong Estate  Sham Shui Po  Kowloon Telephone: 2323 0680 Fax: 2323 8480,Good Excel Property Consultants Ltd. G/F.  Wing Chun House  Wing Cheong Estate  Sham Shui Po  Kowloon Telephone: 2323 0680 Fax: 2323 8480,-,<a href= /en/common/pdf/global-elements/estate-locator/WingCheongEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
Oi Man Estate,Kowloon City,Kowloon,22.31313,114.17884,Public Rental Housing,1974,Old Slab  Twin Tower,12,Tak Man House Chiu Man House Shun Man House Kin Man House Kar Man House Lai Man House Hong Man House Po Man House Sun Man House Tun Man House Chung Man House Wai Man House,6 300 As at 30.6.2025,33.2 - 54.9,Formed,Oi Man Estate Office Unit 407-415  4/F  Kar Man House   Oi Man Estate  Ho Man Tin Telephone: 2713 0121  (24-Hr Telephone: 2762 2436) Fax: 2768 7653,Oi Man Estate Office Unit 407-415  4/F  Kar Man House   Oi Man Estate  Ho Man Tin Telephone: 2713 0121  (24-Hr Telephone: 2762 2436) Fax: 2768 7653,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/OiManEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>
