ID,選校編號 Choice Code,"學    校    名    稱
Name of School",授課時間 Session,學校類別 School Type,資助類別 Finance Type,"宗教
Religion","**暫定統一派位學額 Provisional Number of Places for
Central
Allocation","學    校    地    址        ( 電  話 號  碼  )
School Address (Telephone Number)",map_latitude,map_longitude
PS_001,3101,"佐敦道官立小學    (S) (P)
Jordan Road Government Primary School","全日
whole-day","男女
co-ed","官立
govt",,50,"九龍油麻地南京街１號Ｂ    (2332 4249) 1B Nanking Street, Yau Ma Tei, Kln",22.30618813,114.1688774
PS_002,3102,嘉諾撒聖瑪利學校    (S) (P) (U3) St Mary’s Canossian School,"全日
whole-day","女
girls","資助
aided","天主教
Catholicism",47,"九龍尖沙咀柯士甸道１６２號    (2739 0081) 162 Austin Road, Tsim Sha Tsui, Kln",22.30291924,114.175603
PS_003,3103,德信學校    (S) (P) Tak Sun School,"全日
whole-day","男
boys","資助
aided","天主教
Catholicism",49,"九龍柯士甸道１０３號    (2367 3446) 103 Austin Road, Kln",22.30388546,114.1723228
PS_004,3104,東華三院羅裕積小學    (S) (P) TWGHS Lo Yu Chik Primary School,"全日
whole-day","男女
co-ed","資助
aided",,81,"九龍油麻地碧街５１號    (2780 0039) 51 Pitt Street, Yau Ma Tei, Kln",22.3143519,114.171216
PS_005,3105,中華基督教會灣仔堂基道小學    (S) (P) CCC Wanchai Church Kei To Primary School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",53,"九龍油麻地東莞街４５號    (2780 4455) 45 Tung Kun Street, Yau Ma Tei, Kln",22.31131752,114.1688674
PS_006,3106,油蔴地街坊會學校    (S) (P) Yaumati Kaifong Association School,"全日
whole-day","男女
co-ed","資助
aided",,24,"九龍油麻地眾坊街８０號    (2388 8327) 80 Public Square Street, Yau Ma Tei, Kln",22.31022493,114.171682
PS_007,3107,循道學校    (S) (P) Methodist School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",35,"九龍衛理道１２號    (3976 2200) 12 Wylie Road, Kln",22.30853629,114.1767676
PS_008,3108,油蔴地天主教小學    (S) (P) Yaumati Catholic Primary School,"全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",58,"九龍油麻地東莞街４１號    (2780 7311) 41 Tung Kun Street, Yau Ma Tei, Kln",22.31138971,114.1679551
PS_009,3109,"油蔴地天主教小學（海泓道）    (S) (P)
Yaumati Catholic Primary School (Hoi Wang Road)","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",46,"九龍油麻地海泓道１０號    (2625 0766) 10 Hoi Wang Road, Yau Ma Tei, Kln",22.31341231,114.1640921
PS_010,3110,東莞同鄉會方樹泉學校    (S) (P) TKDS Fong Shu Chuen School,"全日
whole-day","男女
co-ed","資助
aided",,88,"九龍油麻地東莞街４３號    (2780 2296) 43 Tung Kun Street, Yau Ma Tei, Kln",22.31129041,114.1685665
PS_011,3201,"鮮魚行學校    (S)
Fresh Fish Traders’ School","全日
whole-day","男女
co-ed","資助
aided",,40,"九龍大角咀詩歌舞街３３號    (2393 8958) 33 Sycamore Street, Tai Kok Tsui, Kln",22.3246554,114.164062
PS_012,3202,中華基督教會基全小學    (S) CCC Kei Tsun Primary School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",107,"九龍大角咀道１５０號    (2392 8221) 150 Tai Kok Tsui Road, Kln",22.32265045,114.1621598
PS_013,3203,"大角嘴天主教小學    (S)
Tai Kok Tsui Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",58,"九龍大角咀道１４８號    (2393 3559) 148 Tai Kok Tsui Road, Kln",22.32209958,114.1621695
PS_014,3204,"大角嘴天主教小學（海帆道）  (S) (P)
Tai Kok Tsui Catholic Primary School (Hoi Fan Road)","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",41,"九龍大角咀海帆道２０號    (2191 4270) 20 Hoi Fan Road, Tai Kok Tsui, Kln",22.32222531,114.1558314
PS_015,3205,"塘尾道官立小學    (S) (P)
Tong Mei Road Government Primary School","全日
whole-day","男女
co-ed","官立
govt",,76,"九龍塘尾道１７０號    (2393 0800) 170 Tong Mi Road, Kln",22.32284037,114.1657025
PS_016,3206,路德會沙崙學校    (S) Sharon Lutheran School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",62,"九龍大角咀櫻桃街１８號    (2392 0221) 18 Cherry Street, Tai Kok Tsui, Kln",22.31893911,114.1650622
PS_017,3207,"聖公會基榮小學    (S)
SKH Kei Wing Primary School","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",50,"九龍荔枝角道２３號    (2380 0349) 23 Lai Chi Kok Road, Kln",22.32237092,114.1679544
PS_018,3208,中華基督教會協和小學    (S) CCC Heep Woh Primary School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/ Christianity",64,"九龍太子道１９１號Ｂ    (2381 9119) 191B Prince Edward Road, Kln",22.32400563,114.1720989
PS_019,3401,九龍婦女福利會李炳紀念學校    (S) (P) KWWC Li Ping Memorial School,"全日
whole-day","男女
co-ed","資助
aided",,25,"九龍衛理道３３號  *    (2384 6904) 33 Wylie Road, Kln",22.31289806,114.1755059
PS_020,3402,"陳瑞祺（喇沙）小學    (S)
Chan Sui Ki (La Salle) Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",45,"九龍何文田常盛街２２號    (2711 6278) 22 Sheung Shing Street, Ho Man Tin, Kln",22.3187679,114.181145
PS_021,3403,中華基督教會灣仔堂基道小學（九龍城）(S) (U4) CCC Wanchai Church Kei To Primary School (Kowloon City),"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/
Christianity",37,"九龍土瓜灣靠背壟道１７０號    (2714 7000) 170 Kau Pui Lung Road, To Kwa Wan, Kln",22.31550765,114.1859686
PS_022,3404,"聖公會聖匠小學    (S)
SKH Holy Carpenter Primary School","全日
whole-day","男女
co-ed","資助
aided",基督教 Protestantism/ Christianity,52,"九龍貴州街１４號  *   (2333 2313) 14 Kwei Chow Street, Kln",22.31631085,114.1927821
PS_023,3405,"九龍靈光小學    (S)
Emmanuel Primary School, Kowloon","全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/
Christianity",39,"九龍馬頭圍盛德街３６—３８號  * (2711 1232)
36-38 Shing Tak Street, Ma Tau Wai, Kln",22.32410465,114.1879492
PS_024,3406,基督教香港信義會紅磡信義學校    (S) ELCHK Hung Hom Lutheran Primary School,"全日
whole-day","男女
co-ed","資助
aided","基督教
Protestantism/
Christianity",24,"九龍炮仗街３９號  *    (2712 1543) 39 Pau Chung Street, Kln",22.31834313,114.1879973
PS_025,3407,協恩中學附屬小學    (S) (F) (P) Heep Yunn Primary School,"全日
whole-day","女
girls","資助
aided","基督教
Protestantism/
Christianity",34,"九龍農圃道１號    (2711 1263) 1 Farm Road, Kln",22.32172074,114.1853187
PS_026,3408,"聖公會牧愛小學    (S)
SKH Good Shepherd Primary School","全日
whole-day","男女
co-ed","資助
aided",基督教 Protestantism/ Christianity,25,"九龍土瓜灣馬頭圍道１７１號    (2712 3094) 171 Ma Tau Wai Road, To Kwa Wan, Kln",22.31810835,114.1878808
PS_027,3409,"天主教領島學校    (S)
Ling To Catholic Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",84,"九龍愛民邨俊民苑  *    (2713 9233) Chun Man Court, Oi Man Estate, Kln",22.31473126,114.1793202
PS_028,3410,"馬頭涌官立小學    (S) (P)
Ma Tau Chung Government Primary School","全日
whole-day","男女
co-ed","官立
govt",,58,"九龍土瓜灣福祥街１號    (2711 5548) 1 Fuk Cheung Street, To Kwa Wan, Kln",22.32460141,114.1868136
PS_029,3411,"農圃道官立小學    (S) (P)
Farm Road Government Primary School","全日
whole-day","男女
co-ed","官立
govt",,47,"九龍土瓜灣農圃道８號    (2711 0682 ) 8 Farm Road, To Kwa Wan, Kln",22.32079051,114.1866678
PS_030,3412,"聖羅撒學校    (S) (P)
St Rose of Lima’s School","全日
whole-day","女
girls","資助
aided","天主教
Catholicism",47,"九龍基堤道４號    (2338 2807) 4 Embankment Road, Kln",22.32629946,114.1750593
PS_031,3413,"合一堂學校    (S)
Hop Yat Church School","全日
whole-day","男女
co-ed","資助
aided",基督教 Protestantism/ Christianity,49,"九龍公主道７號    (2711 2440) 7 Princess Margaret Road, Kln",22.32079982,114.1794465
PS_032,3414,"獻主會聖馬善樂小學    (S)
St. Eugene de Mazenod Oblate Primary School","全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",61,"九龍土瓜灣天光道２４號    (2715 1011) 24 Tin Kwong Road, To Kwa Wan, Kln",22.31984234,114.1860465
PS_033,3415,獻主會小學    (S) (P) Oblate Primary School,"全日
whole-day","男女
co-ed","資助
aided","天主教
Catholicism",50,"九龍土瓜灣順風街１號    (2364 8375) 1 Shun Fung Street, To Kwa Wan, Kln",22.31583232,114.1918212
