OBJECTID,ID,estate_chi,estate_eng,HousingType,Latitude,Longitude,adhz,t_pop,age_1,age_2,age_3,age_4,age_5,born_chi,born_else,born_hk,dh,dhc_nc,dhc_oth,dhc_re,dhi_sb_1,dhi_sb_2,dhi_sb_3,dhi_sb_4,dhi_sb_e1,dhi_sb_e2,dhi_sb_e3,dhi_sb_e4,dhm_loan,dhm_lr,dhz_1,dhz_2,dhz_3,dhz_4,dhz_5,dhz_6,dm_r,dmr_ir,edu_pri_be,edu_psec,edu_sec,estate,ethn_chi,ethn_ind,ethn_oth,ethn_phi,ethn_wh,fa_m,ma_econhh,ma_f,ma_hh,ma_m,mearn_xfdhfw_sb_1,mearn_xfdhfw_sb_2,mearn_xfdhfw_sb_3,mearn_xfw_sb_1,mearn_xfw_sb_2,mearn_xfw_sb_3,ms_m_f,ms_ma_m,ms_nm_f,ms_nm_m,ms_wds_f,ms_wds_m,nwp_care,nwp_hm,nwp_oth,nwp_re,nwp_st,pls_diff_hk,pls_diff_kln,pls_diff_nt,pls_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth,plw_hm,plw_nofix,plw_out,plw_same,pop_f,pop_m,readchi_ablepctn,readeng_ablepctn,s_diff_oth,sr,t_ma,t_mmearn,t_mmearn_xfdh,t_nwp,t_wp,ul_can,ul_eng,ul_oth,ul_othchi,ul_put,whr_1,whr_2,whr_3,whr_4,whr_5,whr_6,wp_a,wp_b,wp_c,wp_d,wp_e,wp_ee,wp_er,wp_f,wp_fw,wp_g,wp_h,wp_i,wp_j,wp_k,wp_l,wp_m,wp_n,wp_o,wp_p,wp_q,wp_r,wp_s,wp_se,wp_t,writechi_ablepctn,writeeng_ablepctn,Shape_Length,Shape_Area
1,PV_001,淘大花園,Amoy Gardens,Private,22.32457077,114.2163576,2.4,10791,1084,627,3702,3775,1603,2014,514,8263,4526,2715,1347,464,587,503,1251,2185,113,376,1202,2153,11000,20,1155,1526,1014,681,131,19,13000,26.9,715,4597,4395,60064,10425,145,109,112,-,35,43000,44.7,39040,45.1,495,1882,3687,752,1882,3687,3083,2891,1603,1268,672,190,165,405,989,1593,1284,113,354,184,624,1484,1244,809,160,271,763,73,1551,5810,4981,96.2,80.7,12,857,44.9,22000,23000,4436,6355,9477,123,118,278,276,199,382,2739,2092,594,349,772,1103,1645,1029,857,5916,128,258,34,203,488,-,278,347,1104,422,365,409,555,1082,1326,437,277,30,95.5,78.4,755.0603061,28260.67864
2,PV_002,碧海藍天,Aqua Marine,Private,22.33270983,114.1484643,2.8,4367,694,302,1461,1508,402,538,491,3338,1564,1236,318,10,104,181,218,1061,22,125,183,1036,15600,17.5,254,518,307,293,182,10,18500,35,89,2362,1222,60072,3957,71,28,297,14,47,68680,41.2,60080,45.3,93,323,1778,461,323,1778,1374,1167,574,344,183,31,34,155,358,412,839,86,372,89,270,594,660,413,54,423,147,16,262,2524,1843,89.9,90.9,25,730,42,30000,40500,1798,2569,3688,245,91,38,114,97,146,1055,870,292,109,497,634,554,262,151,2349,102,31,7,49,391,-,143,111,332,203,42,102,305,348,536,433,111,14,89.4,87.9,576.740381,14902.55494
3,PV_003,泓景臺,Banyan Garden,Private,22.33441907,114.1476419,2.8,6515,1000,534,2137,2509,335,928,712,4875,2301,1647,459,195,178,73,511,1539,69,68,469,1511,15000,19,351,880,331,422,248,69,17900,31,113,3464,1938,60094,5878,215,67,308,47,47,64150,41.5,60050,43.1,242,437,2674,776,437,2674,1963,1694,816,683,268,91,68,351,602,326,1281,133,268,199,615,781,1018,621,122,587,248,70,440,3553,2962,90.2,93.9,-,834,41.9,30000,32800,2628,3887,5140,684,46,32,346,158,206,1601,1339,400,183,778,898,708,488,323,3599,164,13,-,30,649,-,114,140,743,163,87,274,407,391,926,622,124,20,88.7,91.3,553.2912195,18633.67625
4,PV_004,半山壹號,Celestial Heights,Private,22.31903541,114.1856827,4.3,3265,684,303,1119,843,316,462,968,1835,761,663,41,57,11,11,72,667,-,-,57,631,45000,21.2,19,99,120,122,244,157,39800,29.4,106,1424,1051,60227,2338,126,331,456,14,143,104620,38.5,101940,38.8,29,93,855,681,102,855,1020,673,360,279,238,11,164,137,289,244,791,116,129,127,442,212,336,59,15,734,131,29,124,1965,1300,73.7,90.5,-,662,38.6,21250,50000,1625,1640,2028,790,152,48,112,39,146,488,685,107,175,340,286,246,53,33,1286,254,11,2,-,671,-,91,60,305,23,29,17,174,68,200,673,98,-,72.6,88.8,634.5413529,17719.33014
5,PV_005,帝柏海灣,Central Park,Private,22.31661937,114.162036,3.2,3873,534,431,893,1579,436,868,476,2529,1211,904,157,150,66,72,119,954,3,24,81,893,17000,20.5,126,258,326,342,89,70,25000,23.4,183,2154,1002,60231,3433,100,59,281,-,64,94260,45,80140,47.7,90,222,1285,471,222,1285,1242,958,551,332,218,38,102,132,236,559,866,203,251,122,207,533,199,336,22,430,126,9,323,2293,1580,88.3,88.2,10,689,45.7,32900,45000,1895,1978,3160,374,32,90,136,72,220,737,665,149,135,430,499,395,174,99,1736,150,-,-,-,381,-,100,54,160,58,70,73,382,138,511,404,92,28,87.5,87.4,1063.043698,24259.72882
22,PV_006,大同新邨,Cosmopolitan Estate,Private,22.32164611,114.1608705,2.4,5035,458,220,1760,1347,1250,1823,446,2766,2139,1125,705,309,526,281,771,561,123,266,702,530,9000,24.9,583,663,542,260,91,-,9800,32.8,871,1393,2313,60316,4656,162,185,32,-,30,31250,45.7,27540,46.4,314,957,1084,503,957,1084,1433,1360,562,642,405,175,135,247,427,1170,512,51,116,31,330,546,365,235,33,212,466,46,641,2601,2434,89.7,66.5,8,936,46,17000,18000,2491,2544,4413,108,134,100,108,199,191,784,931,290,149,155,249,585,434,458,2305,61,199,-,48,416,-,102,384,365,140,154,68,207,420,390,286,178,28,88.6,63.6,671.6645323,23057.8124
23,PV_007,匯璽,Cullinan West,Private,22.32702272,114.1537729,2.1,5276,563,631,2987,903,192,1594,749,2933,2547,1011,1425,111,125,164,350,1908,16,131,319,1878,18000,32.9,1149,812,182,185,140,79,18500,29.8,117,3713,883,62185,4666,107,115,353,35,34,70040,34.6,64670,33.6,98,445,2917,507,445,2917,1393,1102,1262,736,196,24,49,156,365,231,590,143,237,85,107,1550,839,390,107,553,233,101,112,3053,2223,87.4,96.4,23,728,34.3,45000,45000,1391,3885,3320,705,90,54,839,136,282,1661,1007,489,310,686,1620,546,314,231,3656,132,38,16,-,450,-,62,92,378,137,90,176,1308,574,515,520,81,33,86.7,95.7,1049.299579,44875.97693
29,PV_008,星河明居,Galaxia,Private,22.34115728,114.2022541,3.1,4964,780,525,1294,1897,468,587,510,3867,1584,1236,177,171,141,90,212,1141,14,32,143,1125,12000,16.1,144,374,484,374,132,76,19000,22.1,253,2559,1372,60496,4468,137,62,235,62,55,82270,43.9,71350,44.7,117,337,1894,462,337,1894,1501,1257,662,425,289,50,157,165,185,586,1178,126,542,241,155,738,742,434,43,412,150,46,128,2759,2205,88.9,88.7,15,799,43.5,37620,40000,2271,2693,4214,423,38,96,55,73,184,1143,805,282,206,534,824,490,235,183,2507,67,11,-,15,401,-,125,107,272,58,73,160,334,331,773,415,119,45,87.8,87.5,492.3105501,8305.074686
31,PV_009,翔龍灣,Grand Waterfront,Private,22.31922145,114.1936142,2.7,4400,741,280,1621,1357,401,885,409,3106,1639,1012,504,123,172,150,368,949,10,137,360,949,14500,21.4,405,440,282,353,109,50,15000,38.8,276,1921,1462,60550,3956,92,152,190,10,36,50040,39.4,45950,40.2,151,442,1686,453,442,1686,1349,1176,495,412,208,19,70,187,300,420,842,49,132,98,525,493,800,223,56,335,385,-,289,2472,1928,89.4,84.7,-,780,39.6,24810,30000,1819,2581,3701,366,87,59,41,147,230,1057,714,347,86,440,405,825,244,221,2244,129,41,-,50,355,-,11,228,450,83,120,152,364,343,446,372,208,12,87.3,81.9,459.6587103,10775.95578
32,PV_010,君滙港,Harbour Green,Private,22.32164088,114.1592698,2.7,3329,672,72,1498,802,285,857,392,2080,1250,681,411,158,75,65,25,1085,10,57,25,1061,18000,22.7,318,336,253,229,85,29,21000,23,68,1928,661,60643,2981,36,42,258,12,45,86040,36.7,85060,39.2,61,208,1470,355,208,1470,1027,782,382,244,147,75,77,88,289,305,537,128,164,66,239,642,203,228,14,346,180,13,407,1936,1393,89.3,92.6,-,720,37.1,45000,50000,1296,2033,2203,364,10,8,497,81,129,708,606,237,272,419,531,464,206,32,1883,78,12,-,9,360,-,37,69,123,44,51,57,756,243,344,294,72,15,88.3,91.5,665.6969108,17071.28139
33,PV_011,海濱南岸,Harbour Place,Private,22.30298295,114.1865921,2.9,6704,1139,415,2631,2026,493,1422,765,4517,2309,1555,555,199,179,218,288,1624,51,166,254,1611,16370,20,337,605,645,445,220,57,20000,23,210,3385,1970,60645,5992,62,172,429,49,55,68050,38.7,63180,39.2,128,750,2803,629,750,2803,2004,1582,1032,557,303,87,85,280,495,488,1174,150,266,44,754,1201,912,382,121,619,399,76,472,3895,2809,89.1,89.6,19,721,38.9,28000,35000,2522,4182,5155,593,131,59,369,183,301,1779,1243,388,288,754,1017,1146,372,213,3860,118,71,-,43,566,-,175,84,488,126,90,239,637,652,1085,596,204,10,88.7,87.9,662.9220269,27778.63338
47,PV_012,益豐大廈,I-Feng Mansion,Private,22.31536271,114.1894455,2.4,3249,338,236,853,1324,498,1772,161,1316,1366,768,344,254,262,606,226,272,105,489,226,272,5000,18.1,238,654,287,116,48,23,5500,34.4,417,589,1905,62215,3129,12,-,20,88,15,18570,47,16000,48.1,126,805,541,158,805,541,907,902,506,257,225,114,187,306,459,434,359,43,76,79,224,281,395,90,-,32,398,7,301,1832,1417,94.1,64.4,-,773,47.6,17200,17500,1745,1504,2584,9,18,426,60,125,109,455,517,184,114,28,34,275,237,424,1348,30,126,-,34,343,3,31,247,197,125,319,34,98,285,99,69,126,-,91,59.9,304.9666243,5488.145462
