Estate_Name,District_Name,Region_Name,Map_Latitude,Map_Longitude,Type_of_Estate,Year_of_Intake,Type_of_Block,No_of_Blocks,Name_of_Block,No_of_Rental_Flats,Flat_Size_m2,Estate_Management_Advisory_Committee_EMAC,District_Tenancy_Management_Office_Estate_Office,Property_Management,Carpark_Management,Estate_Website,Further_Information,Estate_Name match,No. of PRH Flats,Authorized Population,Households
Tak Long Estate,Kowloon City,Kowloon,22.330105,114.2031,Public Rental Housing,2013,Non-standard,9,Tak Cheung House Tak Sui House Tak Kei House Tak Yu House Tak Loong House Tak Shan House Tak Yiu House Tak Ying House Tak Pui House,8 200 As at 30.6.2025,14 – 37,Formed,Kowloon West & Sai Kung District Tenancy Management Office (5) G/F  Carport Building  Tak Long Estate  Kowloon Telephone: 2383 0422 Fax: 2383 0945,Kai Fu Property Services Co. Ltd G/F  Carport Building  Tak Long Estate  Kowloon Telephone: 2856 6225 Fax: 2856 6100,Kai Fu Property Services Co. Ltd G/F  Carport Building  Tak Long Estate  Kowloon Telephone: 2856 6225 Fax: 2856 6100,,<a href= /en/common/pdf/global-elements/estate-locator/TakLongEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tak Long,8200,17900,8100
Kai Ching Estate,Kowloon City,Kowloon,22.33254,114.20292,Public Rental Housing,2013,Non-standard,6,Hong Ching House Lok Ching House Yan Ching House Sheung Ching House Mun Ching House Yuet Ching House,5 200 As at 30.6.2025,14.05-37.58,Formed,Kowloon West & Sai Kung District Tenancy Management Office(5) 1/F  Hong Ching House  Kai Ching Estate  Kowloon Telephone: 2382 3151 Fax: 2716 7199,Kai Fu Property Services Co. Ltd. 1/F  Hong Ching House  Kai Ching Estate  Kowloon Telephone: 2426 9011 Fax: 2427 6911,Kai Fu Property Services Co. Ltd. 1/F  Hong Ching House  Kai Ching Estate  Kowloon Telephone: 2426 9011 Fax: 2427 6911,-,<a href= /en/common/pdf/global-elements/estate-locator/KaiChingEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Kai Ching,5200,11600,5200
Choi Fook Estate,Kwun Tong,Kowloon,22.328026,114.21717,Public Rental Housing,2010  2011  2021,Non-standard,5,Choi Lok House Choi Sin House Choi Hay House Choi Foon House Choi Wo House,4 500 As at 30.6.2025,21.2 - 43.6,Formed,Housing Department Kowloon East (12) District Tenancy Management Office Podium Level 2/F.  Tsui Pak House  Tsui Ping (North) Estate  Kwun Tong  Kowloon Telephone: 2793 2303 Fax: 2763 6540,Good Excel Property Consultants Ltd.  G/F  Choi Sin House  Choi Fook Estate Telephone: 3417 1090 Fax: 3197 0313 E-mail: choifook@goodexcel.com.hk,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911  Email: info@amano.com.hk,,<a href= /en/common/pdf/global-elements/estate-locator/ChoiFookEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Choi Fook,4500,10600,4500
Ching Ho Estate,North,New Territories,22.49311,114.12577,Public Rental Housing,2006,New Harmony ( I ),8,Ching Chak House Ching Chiu House Ching Chung House Ching Hin House Ching Long House Ching Ping House Ching Yu House Ching Yun House,7 200 As at 30.6.2025,17.9 - 39.8,Formed,Tai Po  North & Shatin District Tenancy Management Office (5) No 107  G/F  Tin Yee House  Tin Ping Estate  Sheung Shui  N.T. Telephone: 2677 2002 Fax: 2677 9009,Creative Property Services Consultants Limited G/F  Ching Yu House  Ching Ho Estate  Sheung Shui  N.T. Telephone: 2671 7939 Fax: 2671 7484 Web site: www.creativepsc.com.hk,Yue Xiu APT Parking Ltd 28/F  Seabright Plaza  9-23 Shell St  North Point Telephone: 2512 9611 Fax: 2512 9617 E-mail: yxaptsunny@biznetvigator.com,--,<a href= /en/common/pdf/global-elements/estate-locator/chinghoestate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Ching Ho,7200,17900,7100
Hin Yiu Estate,Sha Tin,New Territories,22.36692,114.17457,Public Rental Housing,2005,New Harmony I,1,Hin Yiu House,800 As at 30.6.2025,17.81 - 39.74,Not Yet Formed,Tai Po  North & Shatin District Tenancy Management Office (2) Market Podium  Pok Hong Estate  Shatin Telephone : 2648 1312 Fax : 2649 1648,Creative Property Services Consultants Limited G/F  Hin Yiu House  Hin Yiu Estate  Sha Tin Telephone: 2278 4000 Fax: 2278 4009,Creative Property Services Consultants Limited G/F  Hin Yiu House  Hin Yiu Estate  Sha Tin Telephone: 2278 4000 Fax: 2278 4009,-,<a href= /en/common/pdf/global-elements/estate-locator/hinyiuestate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Hin Yiu,800,1800,800
Mei Tin Estate,Sha Tin,New Territories,22.37569,114.17018,Public Rental Housing,2006,Modified New Harmony 1,8,Mei Sau House Mei Lai House Mei King House Mei Chi House Mei Lok House Mei Mun House Mei Ting House Mei Chuen House,6 700 As at 30.6.2025,14.05 - 40.15,Formed,Tai Po  North & Shatin District Tenancy Management Office (4) Unit 241-260  2/F.  Shek Yuk House  Chun Shek Estate  Shatin Telephone :  2699 3082 Fax  :  2699 9418,Creative Property Services Consultants Limited G/F  Mei Chi House  Mei Tin Estate  Sha Tin Telephone: 2693 0705 Fax: 2693 0706,Yue Xiu APT Parking Ltd 27/F  Seabright Plaza  9-23 Shell St  North Point Telephone: 2512 9611 Fax: 2512 9617,-,<a href= /en/common/pdf/global-elements/estate-locator/meitinestate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Mei Tin,6700,16400,6700
Cheung Ching Estate,Kwai Tsing,New Territories,22.34968,114.10681,Public Rental Housing,1977  2024,Old Slab  Twin Tower  Non-Standard,10,Ching Chung House Ching Yeung House Ching Kwai House Ching Mui House Ching Pak House Ching Tao House Ching Wai House Ching Yung House Ching Ho House Ching Lan House,6 400 As at 30.6.2025,14.05 - 54.9,Formed,Tsing Yi District Tenancy Management Office  Wings A&B  G/F  Yee Yip House  Tsing Yi Estate  Tsing Yi  N.T. Telephone : 2431 0305 Fax: 2435 5137,Easy Living Consultant Limited 20-29  G/F  Ching Wai House  Cheung Ching Estate  Tsing Yi Telephone: 2495 2224 Fax: 2436 0337,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/CheungChingEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Cheung Ching,6400,16000,6200
Fu Shan Estate,Wong Tai Sin,Kowloon,22.34274,114.20913,Public Rental Housing,1978   2020,Old Slab   Non-standard,4,Fu Lai House Fu Shun House Fu Yan House Fu Fai House,2 300 As at 30.6.2025,14.05 - 34.94,Formed,Chuk Yuen District Tenancy Management Office  Unit 101-108  Yung Yuen House  Chuk Yuen (N) Estate  Wong Tai Sin  Telephone: 2351 1818  Fax: 2351 9224,Pioneer Management Ltd  Floor LG1  Fu Yan House  Fu Shan Estate  Kowloon  Telephone: 2351 2115  (24-Hr Telephone: 2327 5695)  Fax: 2351 9460,Amano Parking Service Limited  Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon  Telephone: 2570 5690  Fax:  2555 7911  Email: info@amano.com.hk.,-,<a href= /en/common/pdf/global-elements/estate-locator/FuShanEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Fu Shan,2300,5700,2300
Tai Hang Tung Estate,Sham Shui Po,Kowloon,22.33268,114.17167,Public Rental Housing,1984,Linear 1  New Slab  Small Household Block,9,Tung Fai House Tung Hoi House Tung Yi House Tung Kin House Tung Lung House Tung Moon House Tung Wong House Tung Yu House Tung Shing House,2 100 As at 30.6.2025,17.7 - 50.1,Formed,Kowloon West & Sai Kung District Tenancy Management Office(4) G/F  Nam On House  Nam Shan Estate  Sham Shui Po  Telephone: 2777 3161 Fax: 2776 8371,Nice Property Management Limited G/F  Tung Wong House  Tai Hang Tung Estate  Sham Shui Po Telephone: 2788 0078 Fax: 2788 2239,Nice Property Management Limited G/F  Tung Wong House  Tai Hang Tung Estate  Sham Shui Po Telephone: 2788 0078 Fax: 2788 2239,,<a href= /en/common/pdf/global-elements/estate-locator/TaiHangTungEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tai Hang Tung,2100,4300,2000
Choi Tak Estate,Kwun Tong,Kowloon,22.3301,114.21279,Public Rental Housing,2010,Non-standard,8,Choi Shing House Choi Shun House Choi Yan House Choi Yee House Choi Chun House Choi King House Choi Leung House Choi Yin House,5 800 As at 30.6.2025,14.05 - 43.6,Formed,Housing Department Kowloon East (6) District Tenancy Management Office  Podium Level 3  Ning Wah House  Lok Wah (North) Estate  Ngau Tau Kok  Kowloon Telephone: 3499 1194 Fax: 3499 1153,Good Excel Property Consultants Ltd G/F  Choi Chun House  Choi Tak Estate  Ngau Tau Kok  Kowloon Telephone: 2756 9990 Fax: 2757 7300 E-mail: choitak@goodexcel.com.hk,Amano Parking Service Limited Rm. E  6/F Selwyn Factory Building  404 Kwun Tong Road  Kwun Tong  Kowloon Telephone: 2117 7076 Fax: 2555 7911 Email: info@amano.com.hk,,Electric vehicle charging facilities of 5 standard chargers are provided at the hourly parking spaces in the carpark at Choi Tak Shopping Centre  <a href= /en/common/pdf/global-elements/estate-locator/ChoiTakEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Choi Tak,5800,13000,5700
