mode,facility_type,Tr,dest_id,S_j,demand_sum,R_j
walking,Hos,5,HS_001,63156.0,39.41642907352399,1602.2760428702018
walking,Hos,5,HS_002,123653.0,0.0,0.0
walking,Hos,5,HS_003,89284.0,4778.542128790476,18.68435970503815
walking,Hos,5,HS_004,102088.0,5174.074351588521,19.73067897036644
walking,Hos,5,HS_005,40940.0,4452.37498508841,9.19509253760374
walking,Hos,5,HS_006,54060.0,4898.566045026027,11.035882644655203
walking,Hos,5,HS_007,78575.0,1048.4938700985044,74.94082916537985
walking,Hos,5,HS_008,107723.0,25.13741015252719,4285.365888783498
walking,Hos,5,HS_009,223079.0,133.18203892576622,1674.9931281975723
walking,Hos,5,HS_010,101492.0,5503.797912333065,18.440357298107525
walking,Hos,5,HS_011,48675.0,294.9179339499702,165.04591412286652
walking,Hos,5,HS_012,71013.0,0.0,0.0
walking,Hos,5,HS_013,27181.0,11288.415120420765,2.407866800613092
walking,Hos,5,HS_014,17794.0,8694.523497747847,2.046575640931812
walking,Hos,5,HS_015,135654.0,5189.832412950823,26.138416273613384
walking,Hos,5,HS_016,122965.0,0.0,0.0
walking,Hos,5,HS_017,3533.0,0.0,0.0
walking,Hos,5,HS_018,82026.0,2177.0249755681784,37.678024331618964
walking,Hos,5,HS_019,35314.0,16265.454905540346,2.171104356138932
walking,Hos,5,HS_020,55288.0,4288.160618872633,12.893173767016064
walking,Hos,5,HS_021,98753.0,1013.6931273976052,97.41902882731658
walking,Hos,5,HS_022,50601.0,354.15102553519034,142.87972178968607
walking,Hos,5,HS_023,43653.0,7509.139371902458,5.813315992421168
walking,Hos,5,HS_024,86752.0,0.4023825232343556,215595.8447267699
walking,Hos,5,HS_025,35598.0,10367.040091262717,3.433766985236393
walking,Hos,5,HS_026,190189.0,3378.157903081163,56.299618151813355
walking,Hos,10,HS_001,63156.0,10592.9405825053,5.962083852741029
walking,Hos,10,HS_002,123653.0,0.0,0.0
walking,Hos,10,HS_003,89284.0,27031.189035798096,3.3029993568451212
walking,Hos,10,HS_004,102088.0,15959.727034045192,6.396600629962311
walking,Hos,10,HS_005,40940.0,21506.48629968568,1.903611749009802
walking,Hos,10,HS_006,54060.0,22565.909410426313,2.395649074750881
walking,Hos,10,HS_007,78575.0,23170.125263820628,3.391220336762366
walking,Hos,10,HS_008,107723.0,113.63063215147821,948.0102148547155
walking,Hos,10,HS_009,223079.0,14608.163578969185,15.270844880266697
walking,Hos,10,HS_010,101492.0,25624.766096935648,3.960699567600618
walking,Hos,10,HS_011,48675.0,3663.241779815659,13.287411240010867
walking,Hos,10,HS_012,71013.0,1079.4778808753745,65.78458091463055
walking,Hos,10,HS_013,27181.0,36635.46306871606,0.7419313889664066
walking,Hos,10,HS_014,17794.0,14569.810162421658,1.221292508387937
walking,Hos,10,HS_015,135654.0,25238.259053338224,5.374934923732676
walking,Hos,10,HS_016,122965.0,28573.48579826305,4.3034651378613
walking,Hos,10,HS_017,3533.0,0.0,0.0
walking,Hos,10,HS_018,82026.0,14330.830991680732,5.723743448486508
walking,Hos,10,HS_019,35314.0,28072.031453738804,1.257978071811282
